,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R1.3-M,R1.3-M_p-value,R,R_p-value,FAIR,FAIR_p-value
F1-M,1.0,***,0.09,***,,,0.25,***,1.0,***,,,0.31,***,0.13,***,,,0.08,**,,,0.14,***,,,0.18,***,0.05,*,-0.0,,0.12,***,0.16,***,,,,,0.05,,0.15,***,0.26,***
F1-D,0.09,***,1.0,***,,,0.21,***,0.09,***,,,0.35,***,0.2,***,,,0.73,***,,,0.4,***,,,0.33,***,0.23,***,0.08,**,0.28,***,0.17,***,,,,,0.34,***,0.28,***,0.36,***
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,0.25,***,0.21,***,,,1.0,***,0.25,***,,,0.97,***,0.48,***,,,0.35,***,,,0.53,***,,,0.38,***,0.29,***,0.37,***,0.5,***,0.52,***,,,,,0.34,***,0.57,***,0.91,***
F3-M,1.0,***,0.09,***,,,0.25,***,1.0,***,,,0.31,***,0.13,***,,,0.08,**,,,0.14,***,,,0.18,***,0.05,*,-0.0,,0.12,***,0.16,***,,,,,0.05,,0.15,***,0.26,***
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,0.31,***,0.35,***,,,0.97,***,0.31,***,,,1.0,***,0.5,***,,,0.44,***,,,0.57,***,,,0.41,***,0.27,***,0.36,***,0.51,***,0.53,***,,,,,0.37,***,0.59,***,0.93,***
A1-D,0.13,***,0.2,***,,,0.48,***,0.13,***,,,0.5,***,1.0,***,,,0.28,***,,,0.96,***,,,0.03,,0.15,***,0.12,***,0.1,***,0.03,,,,,,-0.0,,0.01,,0.5,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,0.08,**,0.73,***,,,0.35,***,0.08,**,,,0.44,***,0.28,***,,,1.0,***,,,0.55,***,,,0.49,***,0.55,***,0.09,***,0.41,***,0.24,***,,,,,0.5,***,0.41,***,0.48,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,0.14,***,0.4,***,,,0.53,***,0.14,***,,,0.57,***,0.96,***,,,0.55,***,,,1.0,***,,,0.17,***,0.3,***,0.13,***,0.21,***,0.1,***,,,,,0.15,***,0.13,***,0.58,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,0.18,***,0.33,***,,,0.38,***,0.18,***,,,0.41,***,0.03,,,,0.49,***,,,0.17,***,,,1.0,***,0.36,***,0.15,***,0.78,***,0.19,***,,,,,0.96,***,0.62,***,0.6,***
I2,0.05,*,0.23,***,,,0.29,***,0.05,*,,,0.27,***,0.15,***,,,0.55,***,,,0.3,***,,,0.36,***,1.0,***,0.07,**,0.35,***,0.15,***,,,,,0.37,***,0.28,***,0.29,***
I3-D,-0.0,,0.08,**,,,0.37,***,-0.0,,,,0.36,***,0.12,***,,,0.09,***,,,0.13,***,,,0.15,***,0.07,**,1.0,***,0.73,***,-0.25,***,,,,,0.14,***,-0.13,***,0.37,***
I,0.12,***,0.28,***,,,0.5,***,0.12,***,,,0.51,***,0.1,***,,,0.41,***,,,0.21,***,,,0.78,***,0.35,***,0.73,***,1.0,***,-0.01,,,,,,0.75,***,0.35,***,0.65,***
R1.1,0.16,***,0.17,***,,,0.52,***,0.16,***,,,0.53,***,0.03,,,,0.24,***,,,0.1,***,,,0.19,***,0.15,***,-0.25,***,-0.01,,1.0,***,,,,,0.17,***,0.87,***,0.52,***
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R1.3-M,0.05,,0.34,***,,,0.34,***,0.05,,,,0.37,***,-0.0,,,,0.5,***,,,0.15,***,,,0.96,***,0.37,***,0.14,***,0.75,***,0.17,***,,,,,1.0,***,0.62,***,0.58,***
R,0.15,***,0.28,***,,,0.57,***,0.15,***,,,0.59,***,0.01,,,,0.41,***,,,0.13,***,,,0.62,***,0.28,***,-0.13,***,0.35,***,0.87,***,,,,,0.62,***,1.0,***,0.69,***
FAIR,0.26,***,0.36,***,,,0.91,***,0.26,***,,,0.93,***,0.5,***,,,0.48,***,,,0.58,***,,,0.6,***,0.29,***,0.37,***,0.65,***,0.52,***,,,,,0.58,***,0.69,***,1.0,***
