,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R1.3-M,R1.3-M_p-value,R,R_p-value,FAIR,FAIR_p-value
F1-M,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-D,,,1.0,***,,,0.14,***,0.06,*,,,0.35,***,0.45,***,,,0.6,***,,,0.48,***,,,0.44,***,0.28,***,0.06,*,0.35,***,0.08,**,,,,,0.44,***,0.31,***,0.33,***
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,,,0.14,***,,,1.0,***,0.16,***,,,0.96,***,0.34,***,,,0.18,***,,,0.33,***,,,0.23,***,0.29,***,0.23,***,0.32,***,0.58,***,,,,,0.23,***,0.56,***,0.85,***
F3-M,,,0.06,*,,,0.16,***,1.0,***,,,0.17,***,0.16,***,,,0.05,,,,0.15,***,,,0.04,,0.02,,0.0,,0.03,,0.04,,,,,,0.04,,0.06,*,0.13,***
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,0.35,***,,,0.96,***,0.17,***,,,1.0,***,0.42,***,,,0.3,***,,,0.42,***,,,0.3,***,0.29,***,0.23,***,0.37,***,0.57,***,,,,,0.3,***,0.59,***,0.88,***
A1-D,,,0.45,***,,,0.34,***,0.16,***,,,0.42,***,1.0,***,,,0.75,***,,,1.0,***,,,0.59,***,0.39,***,-0.02,,0.41,***,0.18,***,,,,,0.59,***,0.46,***,0.6,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,,,0.6,***,,,0.18,***,0.05,,,,0.3,***,0.75,***,,,1.0,***,,,0.8,***,,,0.78,***,0.52,***,0.1,***,0.63,***,0.14,***,,,,,0.78,***,0.54,***,0.53,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,,,0.48,***,,,0.33,***,0.15,***,,,0.42,***,1.0,***,,,0.8,***,,,1.0,***,,,0.63,***,0.42,***,-0.0,,0.45,***,0.18,***,,,,,0.63,***,0.49,***,0.61,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,,,0.44,***,,,0.23,***,0.04,,,,0.3,***,0.59,***,,,0.78,***,,,0.63,***,,,1.0,***,0.59,***,0.1,***,0.77,***,0.16,***,,,,,1.0,***,0.68,***,0.55,***
I2,,,0.28,***,,,0.29,***,0.02,,,,0.29,***,0.39,***,,,0.52,***,,,0.42,***,,,0.59,***,1.0,***,0.06,*,0.5,***,0.1,***,,,,,0.59,***,0.4,***,0.34,***
I3-D,,,0.06,*,,,0.23,***,0.0,,,,0.23,***,-0.02,,,,0.1,***,,,-0.0,,,,0.1,***,0.06,*,1.0,***,0.7,***,-0.06,*,,,,,0.1,***,0.01,,0.31,***
I,,,0.35,***,,,0.32,***,0.03,,,,0.37,***,0.41,***,,,0.63,***,,,0.45,***,,,0.77,***,0.5,***,0.7,***,1.0,***,0.07,**,,,,,0.77,***,0.49,***,0.59,***
R1.1,,,0.08,**,,,0.58,***,0.04,,,,0.57,***,0.18,***,,,0.14,***,,,0.18,***,,,0.16,***,0.1,***,-0.06,*,0.07,**,1.0,***,,,,,0.16,***,0.83,***,0.64,***
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R1.3-M,,,0.44,***,,,0.23,***,0.04,,,,0.3,***,0.59,***,,,0.78,***,,,0.63,***,,,1.0,***,0.59,***,0.1,***,0.77,***,0.16,***,,,,,1.0,***,0.68,***,0.55,***
R,,,0.31,***,,,0.56,***,0.06,*,,,0.59,***,0.46,***,,,0.54,***,,,0.49,***,,,0.68,***,0.4,***,0.01,,0.49,***,0.83,***,,,,,0.68,***,1.0,***,0.78,***
FAIR,,,0.33,***,,,0.85,***,0.13,***,,,0.88,***,0.6,***,,,0.53,***,,,0.61,***,,,0.55,***,0.34,***,0.31,***,0.59,***,0.64,***,,,,,0.55,***,0.78,***,1.0,***
