,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R,FAIR,R1.3-M
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.26 *** CI=[0.22, 0.30]","0.11 *** CI=[-0.02, 0.23]","nan  CI=[nan, nan]","0.32 *** CI=[0.28, 0.37]","0.18 *** CI=[0.15, 0.20]","nan  CI=[nan, nan]","0.68 *** CI=[0.61, 0.75]","nan  CI=[nan, nan]","0.35 *** CI=[0.31, 0.39]","nan  CI=[nan, nan]","0.55 *** CI=[0.45, 0.63]","0.28 *** CI=[0.15, 0.39]","0.06 * CI=[0.05, 0.07]","0.39 *** CI=[0.32, 0.46]","0.15 *** CI=[0.11, 0.19]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.27 *** CI=[0.22, 0.32]","0.32 *** CI=[0.28, 0.36]","0.55 *** CI=[0.45, 0.64]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.26 *** CI=[0.22, 0.30]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.12 *** CI=[0.07, 0.17]","nan  CI=[nan, nan]","0.99 *** CI=[0.98, 1.00]","0.45 *** CI=[0.41, 0.49]","nan  CI=[nan, nan]","0.40 *** CI=[0.36, 0.45]","nan  CI=[nan, nan]","0.52 *** CI=[0.47, 0.56]","nan  CI=[nan, nan]","0.39 *** CI=[0.35, 0.43]","0.32 *** CI=[0.27, 0.36]","0.28 *** CI=[0.24, 0.33]","0.46 *** CI=[0.41, 0.50]","0.65 *** CI=[0.62, 0.68]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.69 *** CI=[0.66, 0.72]","0.95 *** CI=[0.94, 0.96]","0.39 *** CI=[0.35, 0.43]"
F3-M,"nan  CI=[nan, nan]","0.11 *** CI=[-0.02, 0.23]","nan  CI=[nan, nan]","0.12 *** CI=[0.07, 0.17]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.16 *** CI=[0.12, 0.20]","0.04  CI=[-0.02, 0.08]","nan  CI=[nan, nan]","0.09 *** CI=[-0.00, 0.18]","nan  CI=[nan, nan]","0.06 * CI=[-0.00, 0.11]","nan  CI=[nan, nan]","0.13 *** CI=[0.03, 0.24]","0.11 *** CI=[-0.01, 0.25]","-0.03  CI=[-0.11, 0.03]","0.07 * CI=[-0.02, 0.14]","0.09 *** CI=[0.06, 0.12]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.11 *** CI=[0.07, 0.15]","0.13 *** CI=[0.09, 0.17]","0.13 *** CI=[0.03, 0.23]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.32 *** CI=[0.28, 0.37]","nan  CI=[nan, nan]","0.99 *** CI=[0.98, 1.00]","0.16 *** CI=[0.12, 0.20]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.46 *** CI=[0.42, 0.50]","nan  CI=[nan, nan]","0.44 *** CI=[0.39, 0.48]","nan  CI=[nan, nan]","0.53 *** CI=[0.49, 0.57]","nan  CI=[nan, nan]","0.42 *** CI=[0.37, 0.46]","0.30 *** CI=[0.26, 0.34]","0.28 *** CI=[0.23, 0.32]","0.47 *** CI=[0.42, 0.51]","0.65 *** CI=[0.62, 0.68]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.69 *** CI=[0.66, 0.72]","0.96 *** CI=[0.95, 0.96]","0.42 *** CI=[0.37, 0.46]"
A1-D,"nan  CI=[nan, nan]","0.18 *** CI=[0.15, 0.20]","nan  CI=[nan, nan]","0.45 *** CI=[0.41, 0.49]","0.04  CI=[-0.02, 0.08]","nan  CI=[nan, nan]","0.46 *** CI=[0.42, 0.50]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.26 *** CI=[0.23, 0.28]","nan  CI=[nan, nan]","0.96 *** CI=[0.95, 0.97]","nan  CI=[nan, nan]","0.23 *** CI=[0.21, 0.26]","0.16 *** CI=[0.14, 0.19]","0.11 *** CI=[0.06, 0.16]","0.23 *** CI=[0.18, 0.27]","0.02  CI=[-0.03, 0.07]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.08 ** CI=[0.03, 0.12]","0.59 *** CI=[0.56, 0.63]","0.23 *** CI=[0.21, 0.26]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.68 *** CI=[0.61, 0.75]","nan  CI=[nan, nan]","0.40 *** CI=[0.36, 0.45]","0.09 *** CI=[-0.00, 0.18]","nan  CI=[nan, nan]","0.44 *** CI=[0.39, 0.48]","0.26 *** CI=[0.23, 0.28]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.51 *** CI=[0.47, 0.55]","nan  CI=[nan, nan]","0.89 *** CI=[0.85, 0.93]","0.63 *** CI=[0.56, 0.70]","0.09 *** CI=[0.08, 0.10]","0.63 *** CI=[0.58, 0.69]","0.25 *** CI=[0.22, 0.28]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.45 *** CI=[0.40, 0.49]","0.47 *** CI=[0.43, 0.50]","0.89 *** CI=[0.85, 0.93]"
