,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R1.3-M,R1.3-M_p-value,R,R_p-value,FAIR,FAIR_p-value
F1-M,1.0,***,0.1,,,,0.22,*,1.0,***,,,0.39,***,0.13,,,,0.17,,,,0.17,,,,0.11,,0.18,,-0.02,,0.05,,0.1,,,,,,0.11,,0.15,,0.27,**
F1-D,0.1,,1.0,***,,,0.39,***,0.1,,,,0.44,***,0.29,**,,,0.73,***,,,0.48,***,,,0.5,***,0.31,**,0.22,*,0.4,***,0.02,,,,,,0.5,***,0.4,***,0.44,***
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,0.22,*,0.39,***,,,1.0,***,0.22,*,,,0.97,***,0.68,***,,,0.53,***,,,0.73,***,,,0.57,***,0.31,**,0.68,***,0.77,***,0.16,,,,,,0.57,***,0.54,***,0.96,***
F3-M,1.0,***,0.1,,,,0.22,*,1.0,***,,,0.39,***,0.13,,,,0.17,,,,0.17,,,,0.11,,0.18,,-0.02,,0.05,,0.1,,,,,,0.11,,0.15,,0.27,**
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,0.39,***,0.44,***,,,0.97,***,0.39,***,,,1.0,***,0.65,***,,,0.54,***,,,0.71,***,,,0.54,***,0.29,**,0.62,***,0.71,***,0.14,,,,,,0.54,***,0.5,***,0.95,***
A1-D,0.13,,0.29,**,,,0.68,***,0.13,,,,0.65,***,1.0,***,,,0.4,***,,,0.96,***,,,0.29,**,0.2,*,0.26,**,0.33,***,0.1,,,,,,0.29,**,0.29,**,0.7,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,0.17,,0.73,***,,,0.53,***,0.17,,,,0.54,***,0.4,***,,,1.0,***,,,0.65,***,,,0.66,***,0.51,***,0.24,*,0.51,***,0.09,,,,,,0.66,***,0.57,***,0.58,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,0.17,,0.48,***,,,0.73,***,0.17,,,,0.71,***,0.96,***,,,0.65,***,,,1.0,***,,,0.45,***,0.33,***,0.3,**,0.44,***,0.11,,,,,,0.45,***,0.42,***,0.77,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,0.11,,0.5,***,,,0.57,***,0.11,,,,0.54,***,0.29,**,,,0.66,***,,,0.45,***,,,1.0,***,0.41,***,0.37,***,0.75,***,0.0,,,,,,1.0,***,0.76,***,0.66,***
I2,0.18,,0.31,**,,,0.31,**,0.18,,,,0.29,**,0.2,*,,,0.51,***,,,0.33,***,,,0.41,***,1.0,***,0.15,,0.37,***,0.09,,,,,,0.41,***,0.37,***,0.33,***
I3-D,-0.02,,0.22,*,,,0.68,***,-0.02,,,,0.62,***,0.26,**,,,0.24,*,,,0.3,**,,,0.37,***,0.15,,1.0,***,0.89,***,-0.19,,,,,,0.37,***,0.16,,0.67,***
I,0.05,,0.4,***,,,0.77,***,0.05,,,,0.71,***,0.33,***,,,0.51,***,,,0.44,***,,,0.75,***,0.37,***,0.89,***,1.0,***,-0.13,,,,,,0.75,***,0.48,***,0.8,***
R1.1,0.1,,0.02,,,,0.16,,0.1,,,,0.14,,0.1,,,,0.09,,,,0.11,,,,0.0,,0.09,,-0.19,,-0.13,,1.0,***,,,,,0.0,,0.65,***,0.17,
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R1.3-M,0.11,,0.5,***,,,0.57,***,0.11,,,,0.54,***,0.29,**,,,0.66,***,,,0.45,***,,,1.0,***,0.41,***,0.37,***,0.75,***,0.0,,,,,,1.0,***,0.76,***,0.66,***
R,0.15,,0.4,***,,,0.54,***,0.15,,,,0.5,***,0.29,**,,,0.57,***,,,0.42,***,,,0.76,***,0.37,***,0.16,,0.48,***,0.65,***,,,,,0.76,***,1.0,***,0.61,***
FAIR,0.27,**,0.44,***,,,0.96,***,0.27,**,,,0.95,***,0.7,***,,,0.58,***,,,0.77,***,,,0.66,***,0.33,***,0.67,***,0.8,***,0.17,,,,,,0.66,***,0.61,***,1.0,***
