,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R1.3-M,R1.3-M_p-value,R,R_p-value,FAIR,FAIR_p-value
F1-M,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-D,,,1.0,***,,,0.27,*,-0.04,,,,0.47,***,0.43,***,,,0.61,***,,,0.48,***,,,0.38,**,0.31,*,0.13,,0.35,**,0.07,,,,,,0.38,**,0.36,**,0.43,***
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,,,0.27,*,,,1.0,***,0.09,,,,0.96,***,0.41,***,,,0.31,*,,,0.41,***,,,0.34,**,0.43,***,0.62,***,0.62,***,0.36,**,,,,,0.34,**,0.44,***,0.82,***
F3-M,,,-0.04,,,,0.09,,1.0,***,,,0.21,,0.19,,,,0.26,*,,,0.21,,,,0.23,,-0.04,,0.06,,0.17,,0.03,,,,,,0.23,,0.21,,0.19,
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,0.47,***,,,0.96,***,0.21,,,,1.0,***,0.49,***,,,0.45,***,,,0.5,***,,,0.42,***,0.42,***,0.61,***,0.65,***,0.36,**,,,,,0.42,***,0.5,***,0.86,***
A1-D,,,0.43,***,,,0.41,***,0.19,,,,0.49,***,1.0,***,,,0.71,***,,,0.99,***,,,0.49,***,0.35,**,0.11,,0.4,***,0.09,,,,,,0.49,***,0.46,***,0.66,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,,,0.61,***,,,0.31,*,0.26,*,,,0.45,***,0.71,***,,,1.0,***,,,0.79,***,,,0.78,***,0.53,***,0.22,,0.66,***,0.12,,,,,,0.78,***,0.72,***,0.67,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,,,0.48,***,,,0.41,***,0.21,,,,0.5,***,0.99,***,,,0.79,***,,,1.0,***,,,0.56,***,0.4,***,0.13,,0.46,***,0.09,,,,,,0.56,***,0.52,***,0.69,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,,,0.38,**,,,0.34,**,0.23,,,,0.42,***,0.49,***,,,0.78,***,,,0.56,***,,,1.0,***,0.58,***,0.26,*,0.82,***,0.14,,,,,,1.0,***,0.92,***,0.73,***
I2,,,0.31,*,,,0.43,***,-0.04,,,,0.42,***,0.35,**,,,0.53,***,,,0.4,***,,,0.58,***,1.0,***,0.15,,0.56,***,0.08,,,,,,0.58,***,0.53,***,0.47,***
I3-D,,,0.13,,,,0.62,***,0.06,,,,0.61,***,0.11,,,,0.22,,,,0.13,,,,0.26,*,0.15,,1.0,***,0.75,***,0.21,,,,,,0.26,*,0.3,*,0.62,***
I,,,0.35,**,,,0.62,***,0.17,,,,0.65,***,0.4,***,,,0.66,***,,,0.46,***,,,0.82,***,0.56,***,0.75,***,1.0,***,0.21,,,,,,0.82,***,0.79,***,0.86,***
R1.1,,,0.07,,,,0.36,**,0.03,,,,0.36,**,0.09,,,,0.12,,,,0.09,,,,0.14,,0.08,,0.21,,0.21,,1.0,***,,,,,0.14,,0.52,***,0.39,**
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R1.3-M,,,0.38,**,,,0.34,**,0.23,,,,0.42,***,0.49,***,,,0.78,***,,,0.56,***,,,1.0,***,0.58,***,0.26,*,0.82,***,0.14,,,,,,1.0,***,0.92,***,0.73,***
R,,,0.36,**,,,0.44,***,0.21,,,,0.5,***,0.46,***,,,0.72,***,,,0.52,***,,,0.92,***,0.53,***,0.3,*,0.79,***,0.52,***,,,,,0.92,***,1.0,***,0.79,***
FAIR,,,0.43,***,,,0.82,***,0.19,,,,0.86,***,0.66,***,,,0.67,***,,,0.69,***,,,0.73,***,0.47,***,0.62,***,0.86,***,0.39,**,,,,,0.73,***,0.79,***,1.0,***
