,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.17  CI=[nan, nan]","-0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.53 *** CI=[0.34, 0.67]","0.52 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.73 *** CI=[0.51, 0.91]","nan  CI=[nan, nan]","0.58 *** CI=[0.38, 0.73]","nan  CI=[nan, nan]","0.51 *** CI=[0.20, 0.74]","0.24  CI=[nan, nan]","0.16  CI=[0.09, 0.24]","0.43 *** CI=[nan, nan]","0.11  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.51 *** CI=[0.24, 0.74]","0.46 *** CI=[0.21, 0.65]","0.49 *** CI=[nan, nan]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.17  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.09  CI=[nan, nan]","nan  CI=[nan, nan]","0.89 *** CI=[0.77, 0.98]","0.47 *** CI=[0.28, 0.64]","nan  CI=[nan, nan]","0.31 * CI=[0.08, 0.50]","nan  CI=[nan, nan]","0.46 *** CI=[0.26, 0.63]","nan  CI=[nan, nan]","0.35 ** CI=[0.13, 0.54]","0.43 *** CI=[nan, nan]","0.60 *** CI=[0.44, 0.74]","0.61 *** CI=[0.42, 0.75]","0.47 *** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.35 ** CI=[0.13, 0.52]","0.50 *** CI=[0.28, 0.67]","0.82 *** CI=[0.66, 0.92]"
F3-M,"nan  CI=[nan, nan]","-0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.09  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.21  CI=[nan, nan]","0.19  CI=[nan, nan]","nan  CI=[nan, nan]","0.26 * CI=[nan, nan]","nan  CI=[nan, nan]","0.21  CI=[nan, nan]","nan  CI=[nan, nan]","0.23  CI=[nan, nan]","-0.04  CI=[nan, nan]","0.06  CI=[nan, nan]","0.17  CI=[nan, nan]","0.04  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.23  CI=[nan, nan]","0.20  CI=[nan, nan]","0.19  CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.53 *** CI=[0.34, 0.67]","nan  CI=[nan, nan]","0.89 *** CI=[0.77, 0.98]","0.21  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.63 *** CI=[0.45, 0.77]","nan  CI=[nan, nan]","0.58 *** CI=[0.38, 0.73]","nan  CI=[nan, nan]","0.65 *** CI=[0.48, 0.79]","nan  CI=[nan, nan]","0.53 *** CI=[0.32, 0.70]","0.39 ** CI=[nan, nan]","0.59 *** CI=[0.44, 0.72]","0.71 *** CI=[0.56, 0.83]","0.46 *** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.53 *** CI=[0.33, 0.69]","0.65 *** CI=[0.44, 0.78]","0.92 *** CI=[0.82, 0.98]"
A1-D,"nan  CI=[nan, nan]","0.52 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.47 *** CI=[0.28, 0.64]","0.19  CI=[nan, nan]","nan  CI=[nan, nan]","0.63 *** CI=[0.45, 0.77]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.71 *** CI=[0.55, 0.85]","nan  CI=[nan, nan]","0.99 *** CI=[0.98, 1.00]","nan  CI=[nan, nan]","0.49 *** CI=[0.25, 0.70]","0.35 ** CI=[0.07, 0.55]","0.16  CI=[-0.08, 0.35]","0.43 *** CI=[0.17, 0.66]","0.23  CI=[0.12, 0.33]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.49 *** CI=[0.23, 0.71]","0.50 *** CI=[0.30, 0.69]","0.70 *** CI=[0.54, 0.82]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.73 *** CI=[0.51, 0.91]","nan  CI=[nan, nan]","0.31 * CI=[0.08, 0.50]","0.26 * CI=[nan, nan]","nan  CI=[nan, nan]","0.58 *** CI=[0.38, 0.73]","0.71 *** CI=[0.55, 0.85]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.79 *** CI=[0.65, 0.90]","nan  CI=[nan, nan]","0.78 *** CI=[0.56, 0.95]","0.53 *** CI=[nan, nan]","0.22  CI=[0.14, 0.31]","0.66 *** CI=[0.47, 0.80]","0.15  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.78 *** CI=[0.57, 0.94]","0.69 *** CI=[0.50, 0.84]","0.67 *** CI=[0.51, 0.78]"
