,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R1.3-M,R1.3-M_p-value,R,R_p-value,FAIR,FAIR_p-value
F1-M,1.0,***,0.17,,,,0.21,,1.0,***,,,0.28,*,0.11,,,,0.12,,,,0.14,,,,0.08,,-0.03,,0.11,,0.11,,0.07,,,,,,0.08,,0.11,,0.22,
F1-D,0.17,,1.0,***,,,0.02,,0.17,,,,0.61,***,0.32,**,,,0.92,***,,,0.7,***,,,0.68,***,0.17,,0.31,**,0.58,***,0.2,,,,,,0.68,***,0.67,***,0.65,***
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,0.21,,0.02,,,,1.0,***,0.21,,,,0.75,***,0.37,***,,,0.04,,,,0.28,*,,,0.14,,0.21,,0.55,***,0.44,***,0.18,,,,,,0.14,,0.22,,0.66,***
F3-M,1.0,***,0.17,,,,0.21,,1.0,***,,,0.28,*,0.11,,,,0.12,,,,0.14,,,,0.08,,-0.03,,0.11,,0.11,,0.07,,,,,,0.08,,0.11,,0.22,
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,0.28,*,0.61,***,,,0.75,***,0.28,*,,,1.0,***,0.52,***,,,0.59,***,,,0.67,***,,,0.54,***,0.16,,0.64,***,0.71,***,0.28,*,,,,,0.54,***,0.6,***,0.94,***
A1-D,0.11,,0.32,**,,,0.37,***,0.11,,,,0.52,***,1.0,***,,,0.35,**,,,0.88,***,,,0.23,*,0.11,,-0.02,,0.13,,0.24,*,,,,,0.23,*,0.33,**,0.54,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,0.12,,0.92,***,,,0.04,,0.12,,,,0.59,***,0.35,**,,,1.0,***,,,0.76,***,,,0.76,***,0.32,**,0.33,**,0.66,***,0.22,,,,,,0.76,***,0.75,***,0.71,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,0.14,,0.7,***,,,0.28,*,0.14,,,,0.67,***,0.88,***,,,0.76,***,,,1.0,***,,,0.55,***,0.24,*,0.16,,0.42,***,0.28,*,,,,,0.55,***,0.61,***,0.74,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,0.08,,0.68,***,,,0.14,,0.08,,,,0.54,***,0.23,*,,,0.76,***,,,0.55,***,,,1.0,***,0.27,*,0.4,***,0.82,***,0.02,,,,,,1.0,***,0.8,***,0.75,***
I2,-0.03,,0.17,,,,0.21,,-0.03,,,,0.16,,0.11,,,,0.32,**,,,0.24,*,,,0.27,*,1.0,***,0.11,,0.29,**,0.07,,,,,,0.27,*,0.26,*,0.27,*
I3-D,0.11,,0.31,**,,,0.55,***,0.11,,,,0.64,***,-0.02,,,,0.33,**,,,0.16,,,,0.4,***,0.11,,1.0,***,0.85,***,-0.28,*,,,,,0.4,***,0.16,,0.62,***
I,0.11,,0.58,***,,,0.44,***,0.11,,,,0.71,***,0.13,,,,0.66,***,,,0.42,***,,,0.82,***,0.29,**,0.85,***,1.0,***,-0.15,,,,,,0.82,***,0.56,***,0.82,***
R1.1,0.07,,0.2,,,,0.18,,0.07,,,,0.28,*,0.24,*,,,0.22,,,,0.28,*,,,0.02,,0.07,,-0.28,*,-0.15,,1.0,***,,,,,0.02,,0.61,***,0.26,*
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R1.3-M,0.08,,0.68,***,,,0.14,,0.08,,,,0.54,***,0.23,*,,,0.76,***,,,0.55,***,,,1.0,***,0.27,*,0.4,***,0.82,***,0.02,,,,,,1.0,***,0.8,***,0.75,***
R,0.11,,0.67,***,,,0.22,,0.11,,,,0.6,***,0.33,**,,,0.75,***,,,0.61,***,,,0.8,***,0.26,*,0.16,,0.56,***,0.61,***,,,,,0.8,***,1.0,***,0.75,***
FAIR,0.22,,0.65,***,,,0.66,***,0.22,,,,0.94,***,0.54,***,,,0.71,***,,,0.74,***,,,0.75,***,0.27,*,0.62,***,0.82,***,0.26,*,,,,,0.75,***,0.75,***,1.0,***
