,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R1.3-M,R1.3-M_p-value,R,R_p-value,FAIR,FAIR_p-value
F1-M,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-D,,,1.0,***,,,0.12,,0.33,*,,,0.51,***,0.48,**,,,0.72,***,,,0.54,***,,,0.51,***,0.19,,0.07,,0.45,**,0.12,,,,,,0.51,***,0.44,**,0.49,**
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,,,0.12,,,,1.0,***,0.36,*,,,0.86,***,0.4,**,,,0.16,,,,0.37,*,,,0.5,***,0.33,*,0.36,*,0.58,***,0.49,**,,,,,0.5,***,0.64,***,0.77,***
F3-M,,,0.33,*,,,0.36,*,1.0,***,,,0.38,*,0.33,*,,,0.2,,,,0.31,*,,,0.2,,-0.07,,0.05,,0.17,,0.08,,,,,,0.2,,0.19,,0.29,
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,0.51,***,,,0.86,***,0.38,*,,,1.0,***,0.58,***,,,0.44,**,,,0.57,***,,,0.55,***,0.35,*,0.36,*,0.62,***,0.5,***,,,,,0.55,***,0.68,***,0.89,***
A1-D,,,0.48,**,,,0.4,**,0.33,*,,,0.58,***,1.0,***,,,0.66,***,,,0.99,***,,,0.38,*,0.11,,0.17,,0.37,*,0.17,,,,,,0.38,*,0.37,*,0.73,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,,,0.72,***,,,0.16,,0.2,,,,0.44,**,0.66,***,,,1.0,***,,,0.74,***,,,0.66,***,0.28,,0.1,,0.58,***,0.16,,,,,,0.66,***,0.57,***,0.63,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,,,0.54,***,,,0.37,*,0.31,*,,,0.57,***,0.99,***,,,0.74,***,,,1.0,***,,,0.43,**,0.14,,0.17,,0.42,**,0.17,,,,,,0.43,**,0.41,**,0.75,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,,,0.51,***,,,0.5,***,0.2,,,,0.55,***,0.38,*,,,0.66,***,,,0.43,**,,,1.0,***,0.72,***,0.1,,0.9,***,0.16,,,,,,1.0,***,0.81,***,0.65,***
I2,,,0.19,,,,0.33,*,-0.07,,,,0.35,*,0.11,,,,0.28,,,,0.14,,,,0.72,***,1.0,***,0.07,,0.71,***,0.12,,,,,,0.72,***,0.59,***,0.46,**
I3-D,,,0.07,,,,0.36,*,0.05,,,,0.36,*,0.17,,,,0.1,,,,0.17,,,,0.1,,0.07,,1.0,***,0.51,***,0.26,,,,,,0.1,,0.23,,0.35,*
I,,,0.45,**,,,0.58,***,0.17,,,,0.62,***,0.37,*,,,0.58,***,,,0.42,**,,,0.9,***,0.71,***,0.51,***,1.0,***,0.25,,,,,,0.9,***,0.79,***,0.71,***
R1.1,,,0.12,,,,0.49,**,0.08,,,,0.5,***,0.17,,,,0.16,,,,0.17,,,,0.16,,0.12,,0.26,,0.25,,1.0,***,,,,,0.16,,0.71,***,0.56,***
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R1.3-M,,,0.51,***,,,0.5,***,0.2,,,,0.55,***,0.38,*,,,0.66,***,,,0.43,**,,,1.0,***,0.72,***,0.1,,0.9,***,0.16,,,,,,1.0,***,0.81,***,0.65,***
R,,,0.44,**,,,0.64,***,0.19,,,,0.68,***,0.37,*,,,0.57,***,,,0.41,**,,,0.81,***,0.59,***,0.23,,0.79,***,0.71,***,,,,,0.81,***,1.0,***,0.8,***
FAIR,,,0.49,**,,,0.77,***,0.29,,,,0.89,***,0.73,***,,,0.63,***,,,0.75,***,,,0.65,***,0.46,**,0.35,*,0.71,***,0.56,***,,,,,0.65,***,0.8,***,1.0,***
