,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.10  CI=[nan, nan]","0.33 * CI=[nan, nan]","nan  CI=[nan, nan]","0.51 *** CI=[nan, nan]","0.47 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.72 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.54 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.51 *** CI=[nan, nan]","0.19  CI=[nan, nan]","0.07  CI=[nan, nan]","0.45 ** CI=[nan, nan]","0.11  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.51 *** CI=[nan, nan]","0.45 ** CI=[nan, nan]","0.49 ** CI=[nan, nan]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.10  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.36 * CI=[nan, nan]","nan  CI=[nan, nan]","0.85 *** CI=[0.60, 1.00]","0.45 ** CI=[0.19, 0.69]","nan  CI=[nan, nan]","0.14  CI=[-0.19, 0.44]","nan  CI=[nan, nan]","0.41 ** CI=[0.13, 0.66]","nan  CI=[nan, nan]","0.47 ** CI=[0.26, 0.64]","0.31 * CI=[nan, nan]","0.36 * CI=[nan, nan]","0.56 *** CI=[0.35, 0.72]","0.48 ** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.47 ** CI=[0.25, 0.64]","0.62 *** CI=[0.39, 0.78]","0.76 *** CI=[0.53, 0.93]"
F3-M,"nan  CI=[nan, nan]","0.33 * CI=[nan, nan]","nan  CI=[nan, nan]","0.36 * CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.38 * CI=[nan, nan]","0.32 * CI=[nan, nan]","nan  CI=[nan, nan]","0.20  CI=[nan, nan]","nan  CI=[nan, nan]","0.31 * CI=[nan, nan]","nan  CI=[nan, nan]","0.20  CI=[nan, nan]","-0.07  CI=[nan, nan]","0.05  CI=[nan, nan]","0.17  CI=[nan, nan]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.20  CI=[nan, nan]","0.19  CI=[nan, nan]","0.29  CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.51 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.85 *** CI=[0.60, 1.00]","0.38 * CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.62 *** CI=[0.36, 0.80]","nan  CI=[nan, nan]","0.43 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.61 *** CI=[0.38, 0.79]","nan  CI=[nan, nan]","0.53 *** CI=[nan, nan]","0.34 * CI=[nan, nan]","0.36 * CI=[nan, nan]","0.61 *** CI=[0.39, 0.77]","0.48 ** CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.53 *** CI=[nan, nan]","0.67 *** CI=[0.48, 0.81]","0.89 *** CI=[0.76, 0.97]"
A1-D,"nan  CI=[nan, nan]","0.47 ** CI=[nan, nan]","nan  CI=[nan, nan]","0.45 ** CI=[0.19, 0.69]","0.32 * CI=[nan, nan]","nan  CI=[nan, nan]","0.62 *** CI=[0.36, 0.80]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.64 *** CI=[0.40, 0.82]","nan  CI=[nan, nan]","0.99 *** CI=[0.97, 1.00]","nan  CI=[nan, nan]","0.36 * CI=[0.03, 0.63]","0.10  CI=[nan, nan]","0.17  CI=[nan, nan]","0.36 * CI=[0.06, 0.62]","0.25  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.36 * CI=[0.01, 0.64]","0.41 ** CI=[0.10, 0.63]","0.79 *** CI=[0.62, 0.91]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.72 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.14  CI=[-0.19, 0.44]","0.20  CI=[nan, nan]","nan  CI=[nan, nan]","0.43 ** CI=[nan, nan]","0.64 *** CI=[0.40, 0.82]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.74 *** CI=[0.49, 0.88]","nan  CI=[nan, nan]","0.66 *** CI=[nan, nan]","0.28  CI=[nan, nan]","0.10  CI=[nan, nan]","0.58 *** CI=[0.26, 0.84]","0.15  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.66 *** CI=[nan, nan]","0.58 *** CI=[nan, nan]","0.63 *** CI=[0.39, 0.78]"
