,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R,FAIR,R1.3-M
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.15  CI=[nan, nan]","0.29  CI=[nan, nan]","nan  CI=[nan, nan]","0.53 *** CI=[nan, nan]","0.29  CI=[nan, nan]","nan  CI=[nan, nan]","0.82 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.57 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.69 *** CI=[nan, nan]","0.30  CI=[nan, nan]","0.06  CI=[nan, nan]","0.65 *** CI=[nan, nan]","0.23  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.51 *** CI=[nan, nan]","0.54 *** CI=[nan, nan]","0.69 *** CI=[nan, nan]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.15  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.22  CI=[nan, nan]","nan  CI=[nan, nan]","0.82 *** CI=[0.62, 0.98]","0.60 *** CI=[0.40, 0.76]","nan  CI=[nan, nan]","0.12  CI=[-0.20, 0.43]","nan  CI=[nan, nan]","0.51 *** CI=[0.21, 0.74]","nan  CI=[nan, nan]","0.12  CI=[nan, nan]","0.21  CI=[nan, nan]","0.28  CI=[nan, nan]","0.22  CI=[-0.17, 0.56]","0.53 *** CI=[0.30, 0.74]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.46 ** CI=[0.17, 0.70]","0.71 *** CI=[0.45, 0.91]","0.12  CI=[-0.22, 0.45]"
F3-M,"nan  CI=[nan, nan]","0.29  CI=[nan, nan]","nan  CI=[nan, nan]","0.22  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.38 * CI=[nan, nan]","0.17  CI=[nan, nan]","nan  CI=[nan, nan]","0.20  CI=[nan, nan]","nan  CI=[nan, nan]","0.22  CI=[nan, nan]","nan  CI=[nan, nan]","0.23  CI=[nan, nan]","-0.05  CI=[nan, nan]","0.03  CI=[nan, nan]","0.21  CI=[nan, nan]","0.14  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.22  CI=[nan, nan]","0.31 * CI=[nan, nan]","0.23  CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.53 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.82 *** CI=[0.62, 0.98]","0.38 * CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.68 *** CI=[0.52, 0.80]","nan  CI=[nan, nan]","0.44 ** CI=[0.18, 0.66]","nan  CI=[nan, nan]","0.71 *** CI=[0.55, 0.83]","nan  CI=[nan, nan]","0.37 * CI=[0.06, 0.58]","0.18  CI=[nan, nan]","0.27  CI=[nan, nan]","0.43 ** CI=[0.15, 0.65]","0.59 *** CI=[0.40, 0.75]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.63 *** CI=[0.42, 0.78]","0.90 *** CI=[0.78, 0.97]","0.37 * CI=[nan, nan]"
A1-D,"nan  CI=[nan, nan]","0.29  CI=[nan, nan]","nan  CI=[nan, nan]","0.60 *** CI=[0.40, 0.76]","0.17  CI=[nan, nan]","nan  CI=[nan, nan]","0.68 *** CI=[0.52, 0.80]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.35 * CI=[nan, nan]","nan  CI=[nan, nan]","0.91 *** CI=[0.82, 0.97]","nan  CI=[nan, nan]","0.32 * CI=[0.17, 0.46]","0.17  CI=[nan, nan]","0.21  CI=[nan, nan]","0.36 * CI=[0.19, 0.50]","0.28  CI=[-0.05, 0.59]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.37 * CI=[0.10, 0.60]","0.77 *** CI=[0.64, 0.85]","0.32 * CI=[nan, nan]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.82 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.12  CI=[-0.20, 0.43]","0.20  CI=[nan, nan]","nan  CI=[nan, nan]","0.44 ** CI=[0.18, 0.66]","0.35 * CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.70 *** CI=[0.43, 0.84]","nan  CI=[nan, nan]","0.91 *** CI=[nan, nan]","0.50 *** CI=[nan, nan]","0.07  CI=[nan, nan]","0.86 *** CI=[nan, nan]","0.28  CI=[0.16, 0.42]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.66 *** CI=[0.41, 0.82]","0.65 *** CI=[nan, nan]","0.91 *** CI=[0.69, 1.00]"
