,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R1.3-M,R1.3-M_p-value,R,R_p-value,FAIR,FAIR_p-value
F1-M,1.0,***,0.25,***,,,0.2,**,1.0,***,,,0.24,***,0.08,,,,0.16,*,,,0.12,,,,-0.09,,-0.02,,-0.12,,-0.12,,0.12,,,,,,-0.09,,0.04,,0.16,*
F1-D,0.25,***,1.0,***,,,0.21,**,0.25,***,,,0.39,***,0.29,***,,,0.73,***,,,0.45,***,,,0.25,***,0.45,***,0.06,,0.27,***,0.15,*,,,,,0.25,***,0.23,***,0.4,***
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,0.2,**,0.21,**,,,1.0,***,0.2,**,,,0.96,***,0.42,***,,,0.32,***,,,0.45,***,,,0.27,***,0.2,**,0.19,**,0.31,***,0.67,***,,,,,0.27,***,0.6,***,0.8,***
F3-M,1.0,***,0.25,***,,,0.2,**,1.0,***,,,0.24,***,0.08,,,,0.16,*,,,0.12,,,,-0.09,,-0.02,,-0.12,,-0.12,,0.12,,,,,,-0.09,,0.04,,0.16,*
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,0.24,***,0.39,***,,,0.96,***,0.24,***,,,1.0,***,0.46,***,,,0.44,***,,,0.51,***,,,0.3,***,0.2,**,0.17,*,0.34,***,0.66,***,,,,,0.3,***,0.61,***,0.84,***
A1-D,0.08,,0.29,***,,,0.42,***,0.08,,,,0.46,***,1.0,***,,,0.4,***,,,0.97,***,,,-0.11,,0.13,,-0.04,,-0.1,,0.09,,,,,,-0.11,,-0.0,,0.35,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,0.16,*,0.73,***,,,0.32,***,0.16,*,,,0.44,***,0.4,***,,,1.0,***,,,0.62,***,,,0.35,***,0.33,***,0.08,,0.36,***,0.26,***,,,,,0.35,***,0.36,***,0.53,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,0.12,,0.45,***,,,0.45,***,0.12,,,,0.51,***,0.97,***,,,0.62,***,,,1.0,***,,,0.01,,0.2,**,-0.01,,0.02,,0.15,*,,,,,0.01,,0.1,,0.45,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,-0.09,,0.25,***,,,0.27,***,-0.09,,,,0.3,***,-0.11,,,,0.35,***,,,0.01,,,,1.0,***,0.19,**,0.15,*,0.94,***,0.35,***,,,,,1.0,***,0.77,***,0.71,***
I2,-0.02,,0.45,***,,,0.2,**,-0.02,,,,0.2,**,0.13,,,,0.33,***,,,0.2,**,,,0.19,**,1.0,***,0.03,,0.25,***,0.11,,,,,,0.19,**,0.17,*,0.2,**
I3-D,-0.12,,0.06,,,,0.19,**,-0.12,,,,0.17,*,-0.04,,,,0.08,,,,-0.01,,,,0.15,*,0.03,,1.0,***,0.46,***,-0.21,**,,,,,0.15,*,-0.07,,0.19,**
I,-0.12,,0.27,***,,,0.31,***,-0.12,,,,0.34,***,-0.1,,,,0.36,***,,,0.02,,,,0.94,***,0.25,***,0.46,***,1.0,***,0.25,***,,,,,0.94,***,0.67,***,0.7,***
R1.1,0.12,,0.15,*,,,0.67,***,0.12,,,,0.66,***,0.09,,,,0.26,***,,,0.15,*,,,0.35,***,0.11,,-0.21,**,0.25,***,1.0,***,,,,,0.35,***,0.86,***,0.69,***
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R1.3-M,-0.09,,0.25,***,,,0.27,***,-0.09,,,,0.3,***,-0.11,,,,0.35,***,,,0.01,,,,1.0,***,0.19,**,0.15,*,0.94,***,0.35,***,,,,,1.0,***,0.77,***,0.71,***
R,0.04,,0.23,***,,,0.6,***,0.04,,,,0.61,***,-0.0,,,,0.36,***,,,0.1,,,,0.77,***,0.17,*,-0.07,,0.67,***,0.86,***,,,,,0.77,***,1.0,***,0.85,***
FAIR,0.16,*,0.4,***,,,0.8,***,0.16,*,,,0.84,***,0.35,***,,,0.53,***,,,0.45,***,,,0.71,***,0.2,**,0.19,**,0.7,***,0.69,***,,,,,0.71,***,0.85,***,1.0,***
