,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.07  CI=[nan, nan]","-0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.30 *** CI=[0.14, 0.42]","0.44 *** CI=[0.28, 0.56]","nan  CI=[nan, nan]","0.63 *** CI=[0.43, 0.78]","nan  CI=[nan, nan]","0.46 *** CI=[0.30, 0.59]","nan  CI=[nan, nan]","0.43 *** CI=[0.15, 0.63]","0.26 *** CI=[nan, nan]","0.03  CI=[nan, nan]","0.40 *** CI=[0.16, 0.59]","0.14  CI=[0.08, 0.18]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.43 *** CI=[0.16, 0.63]","0.29 *** CI=[nan, nan]","0.33 *** CI=[0.21, 0.43]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.07  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.12  CI=[nan, nan]","nan  CI=[nan, nan]","0.96 *** CI=[0.91, 0.99]","0.27 *** CI=[0.12, 0.39]","nan  CI=[nan, nan]","0.09  CI=[-0.04, 0.23]","nan  CI=[nan, nan]","0.25 *** CI=[0.13, 0.37]","nan  CI=[nan, nan]","0.17 * CI=[0.02, 0.31]","0.27 *** CI=[nan, nan]","0.00  CI=[nan, nan]","0.17 * CI=[0.02, 0.30]","0.80 *** CI=[0.74, 0.84]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.17 * CI=[0.03, 0.32]","0.73 *** CI=[0.62, 0.81]","0.84 *** CI=[0.75, 0.91]"
F3-M,"nan  CI=[nan, nan]","-0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.12  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.13  CI=[nan, nan]","-0.03  CI=[nan, nan]","nan  CI=[nan, nan]","-0.02  CI=[nan, nan]","nan  CI=[nan, nan]","-0.03  CI=[nan, nan]","nan  CI=[nan, nan]","-0.02  CI=[nan, nan]","-0.01  CI=[nan, nan]","0.01  CI=[nan, nan]","-0.02  CI=[nan, nan]","0.05  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","-0.02  CI=[nan, nan]","0.03  CI=[nan, nan]","0.09  CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.30 *** CI=[0.14, 0.42]","nan  CI=[nan, nan]","0.96 *** CI=[0.91, 0.99]","0.13  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.36 *** CI=[0.22, 0.48]","nan  CI=[nan, nan]","0.23 ** CI=[0.06, 0.38]","nan  CI=[nan, nan]","0.35 *** CI=[0.21, 0.47]","nan  CI=[nan, nan]","0.23 *** CI=[0.06, 0.38]","0.28 *** CI=[nan, nan]","0.01  CI=[nan, nan]","0.22 ** CI=[0.06, 0.36]","0.80 *** CI=[0.74, 0.84]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.23 *** CI=[0.08, 0.37]","0.76 *** CI=[0.67, 0.83]","0.88 *** CI=[0.80, 0.94]"
A1-D,"nan  CI=[nan, nan]","0.44 *** CI=[0.28, 0.56]","nan  CI=[nan, nan]","0.27 *** CI=[0.12, 0.39]","-0.03  CI=[nan, nan]","nan  CI=[nan, nan]","0.36 *** CI=[0.22, 0.48]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.70 *** CI=[0.57, 0.80]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.63 *** CI=[0.47, 0.76]","0.29 *** CI=[0.11, 0.43]","-0.12  CI=[nan, nan]","0.53 *** CI=[0.32, 0.72]","0.21 ** CI=[0.11, 0.30]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.63 *** CI=[0.47, 0.76]","0.45 *** CI=[0.30, 0.56]","0.61 *** CI=[0.50, 0.70]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.63 *** CI=[0.43, 0.78]","nan  CI=[nan, nan]","0.09  CI=[-0.04, 0.23]","-0.02  CI=[nan, nan]","nan  CI=[nan, nan]","0.23 ** CI=[0.06, 0.38]","0.70 *** CI=[0.57, 0.80]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.73 *** CI=[0.61, 0.83]","nan  CI=[nan, nan]","0.78 *** CI=[0.61, 0.91]","0.24 *** CI=[nan, nan]","0.05  CI=[nan, nan]","0.71 *** CI=[0.55, 0.85]","0.22 ** CI=[0.16, 0.27]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.78 *** CI=[0.61, 0.91]","0.51 *** CI=[0.39, 0.60]","0.52 *** CI=[0.42, 0.61]"
A2-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A,"nan  CI=[nan, nan]","0.46 *** CI=[0.30, 0.59]","nan  CI=[nan, nan]","0.25 *** CI=[0.13, 0.37]","-0.03  CI=[nan, nan]","nan  CI=[nan, nan]","0.35 *** CI=[0.21, 0.47]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.73 *** CI=[0.61, 0.83]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.66 *** CI=[0.51, 0.78]","0.29 *** CI=[nan, nan]","-0.10  CI=[nan, nan]","0.56 *** CI=[0.35, 0.73]","0.21 ** CI=[0.10, 0.30]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.66 *** CI=[0.51, 0.78]","0.46 *** CI=[0.32, 0.57]","0.61 *** CI=[0.50, 0.70]"
I1-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
I1-M,"nan  CI=[nan, nan]","0.43 *** CI=[0.15, 0.63]","nan  CI=[nan, nan]","0.17 * CI=[0.02, 0.31]","-0.02  CI=[nan, nan]","nan  CI=[nan, nan]","0.23 *** CI=[0.06, 0.38]","0.63 *** CI=[0.47, 0.76]","nan  CI=[nan, nan]","0.78 *** CI=[0.61, 0.91]","nan  CI=[nan, nan]","0.66 *** CI=[0.51, 0.78]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.51 *** CI=[nan, nan]","0.05  CI=[nan, nan]","0.92 *** CI=[0.84, 0.99]","0.19 ** CI=[0.11, 0.26]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.59 *** CI=[0.48, 0.68]","0.55 *** CI=[0.45, 0.64]"
I2,"nan  CI=[nan, nan]","0.26 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.27 *** CI=[nan, nan]","-0.01  CI=[nan, nan]","nan  CI=[nan, nan]","0.28 *** CI=[nan, nan]","0.29 *** CI=[0.11, 0.43]","nan  CI=[nan, nan]","0.24 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.29 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.51 *** CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.02  CI=[nan, nan]","0.51 *** CI=[nan, nan]","0.12  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.51 *** CI=[nan, nan]","0.31 *** CI=[nan, nan]","0.28 *** CI=[nan, nan]"
