,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R,R_p-value,FAIR,FAIR_p-value,R1.3-M,R1.3-M_p-value
F1-M,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-D,,,1.0,***,,,0.23,**,-0.02,,,,0.32,***,0.25,***,,,0.67,***,,,0.38,***,,,0.57,***,0.57,***,0.03,,0.53,***,0.1,,,,,,0.25,***,0.35,***,0.57,***
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,,,0.23,**,,,1.0,***,0.11,,,,0.99,***,0.42,***,,,0.33,***,,,0.45,***,,,0.33,***,0.21,**,0.12,,0.34,***,0.72,***,,,,,0.73,***,0.94,***,0.33,***
F3-M,,,-0.02,,,,0.11,,1.0,***,,,0.13,,-0.06,,,,-0.02,,,,-0.06,,,,-0.02,,-0.01,,0.01,,-0.01,,0.07,,,,,,0.05,,0.06,,-0.02,
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,0.32,***,,,0.99,***,0.13,,,,1.0,***,0.43,***,,,0.39,***,,,0.47,***,,,0.34,***,0.21,**,0.12,,0.36,***,0.7,***,,,,,0.72,***,0.95,***,0.34,***
A1-D,,,0.25,***,,,0.42,***,-0.06,,,,0.43,***,1.0,***,,,0.37,***,,,0.97,***,,,0.32,***,0.14,*,-0.09,,0.24,***,0.05,,,,,,0.14,,0.56,***,0.32,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,,,0.67,***,,,0.33,***,-0.02,,,,0.39,***,0.37,***,,,1.0,***,,,0.57,***,,,0.88,***,0.38,***,0.05,,0.79,***,0.23,***,,,,,0.45,***,0.51,***,0.88,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,,,0.38,***,,,0.45,***,-0.06,,,,0.47,***,0.97,***,,,0.57,***,,,1.0,***,,,0.5,***,0.22,**,-0.07,,0.41,***,0.11,,,,,,0.23,**,0.63,***,0.5,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,,,0.57,***,,,0.33,***,-0.02,,,,0.34,***,0.32,***,,,0.88,***,,,0.5,***,,,1.0,***,0.43,***,0.04,,0.9,***,0.27,***,,,,,0.51,***,0.46,***,1.0,***
I2,,,0.57,***,,,0.21,**,-0.01,,,,0.21,**,0.14,*,,,0.38,***,,,0.22,**,,,0.43,***,1.0,***,0.02,,0.41,***,0.12,,,,,,0.22,**,0.21,**,0.43,***
I3-D,,,0.03,,,,0.12,,0.01,,,,0.12,,-0.09,,,,0.05,,,,-0.07,,,,0.04,,0.02,,1.0,***,0.48,***,-0.13,,,,,,-0.11,,0.1,,0.04,
I,,,0.53,***,,,0.34,***,-0.01,,,,0.36,***,0.24,***,,,0.79,***,,,0.41,***,,,0.9,***,0.41,***,0.48,***,1.0,***,0.18,*,,,,,0.4,***,0.45,***,0.9,***
R1.1,,,0.1,,,,0.72,***,0.07,,,,0.7,***,0.05,,,,0.23,***,,,0.11,,,,0.27,***,0.12,,-0.13,,0.18,*,1.0,***,,,,,0.97,***,0.74,***,0.27,***
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R,,,0.25,***,,,0.73,***,0.05,,,,0.72,***,0.14,,,,0.45,***,,,0.23,**,,,0.51,***,0.22,**,-0.11,,0.4,***,0.97,***,,,,,1.0,***,0.79,***,0.51,***
FAIR,,,0.35,***,,,0.94,***,0.06,,,,0.95,***,0.56,***,,,0.51,***,,,0.63,***,,,0.46,***,0.21,**,0.1,,0.45,***,0.74,***,,,,,0.79,***,1.0,***,0.46,***
R1.3-M,,,0.57,***,,,0.33,***,-0.02,,,,0.34,***,0.32,***,,,0.88,***,,,0.5,***,,,1.0,***,0.43,***,0.04,,0.9,***,0.27,***,,,,,0.51,***,0.46,***,1.0,***
