,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R,R_p-value,FAIR,FAIR_p-value,R1.3-M,R1.3-M_p-value
F1-M,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-D,,,1.0,***,,,0.28,***,0.2,***,,,0.34,***,0.06,,,,0.44,***,,,0.31,***,,,0.33,***,0.17,**,0.01,,0.32,***,0.24,***,,,,,0.27,***,0.29,***,0.33,***
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,,,0.28,***,,,1.0,***,0.2,***,,,1.0,***,0.13,*,,,0.71,***,,,0.52,***,,,0.71,***,0.67,***,0.12,*,0.71,***,0.84,***,,,,,0.86,***,0.89,***,0.71,***
F3-M,,,0.2,***,,,0.2,***,1.0,***,,,0.22,***,0.04,,,,0.17,**,,,0.13,*,,,0.17,**,0.21,***,0.01,,0.19,***,0.18,***,,,,,0.18,***,0.18,***,0.17,**
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,0.34,***,,,1.0,***,0.22,***,,,1.0,***,0.13,*,,,0.72,***,,,0.53,***,,,0.7,***,0.65,***,0.12,*,0.71,***,0.84,***,,,,,0.86,***,0.89,***,0.7,***
A1-D,,,0.06,,,,0.13,*,0.04,,,,0.13,*,1.0,***,,,0.14,**,,,0.81,***,,,0.14,**,0.13,*,-0.02,,0.14,*,-0.09,,,,,,-0.06,,0.46,***,0.14,**
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,,,0.44,***,,,0.71,***,0.17,**,,,0.72,***,0.14,**,,,1.0,***,,,0.7,***,,,0.95,***,0.91,***,0.02,,0.94,***,0.63,***,,,,,0.71,***,0.65,***,0.95,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,,,0.31,***,,,0.52,***,0.13,*,,,0.53,***,0.81,***,,,0.7,***,,,1.0,***,,,0.67,***,0.64,***,-0.0,,0.66,***,0.31,***,,,,,0.38,***,0.72,***,0.67,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,,,0.33,***,,,0.71,***,0.17,**,,,0.7,***,0.14,**,,,0.95,***,,,0.67,***,,,1.0,***,0.92,***,0.02,,0.99,***,0.64,***,,,,,0.73,***,0.64,***,1.0,***
I2,,,0.17,**,,,0.67,***,0.21,***,,,0.65,***,0.13,*,,,0.91,***,,,0.64,***,,,0.92,***,1.0,***,0.02,,0.92,***,0.59,***,,,,,0.67,***,0.59,***,0.92,***
I3-D,,,0.01,,,,0.12,*,0.01,,,,0.12,*,-0.02,,,,0.02,,,,-0.0,,,,0.02,,0.02,,1.0,***,0.17,**,-0.1,,,,,,-0.09,,0.09,,0.02,
I,,,0.32,***,,,0.71,***,0.19,***,,,0.71,***,0.14,*,,,0.94,***,,,0.66,***,,,0.99,***,0.92,***,0.17,**,1.0,***,0.62,***,,,,,0.71,***,0.64,***,0.99,***
R1.1,,,0.24,***,,,0.84,***,0.18,***,,,0.84,***,-0.09,,,,0.63,***,,,0.31,***,,,0.64,***,0.59,***,-0.1,,0.62,***,1.0,***,,,,,0.99,***,0.77,***,0.64,***
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R,,,0.27,***,,,0.86,***,0.18,***,,,0.86,***,-0.06,,,,0.71,***,,,0.38,***,,,0.73,***,0.67,***,-0.09,,0.71,***,0.99,***,,,,,1.0,***,0.79,***,0.73,***
FAIR,,,0.29,***,,,0.89,***,0.18,***,,,0.89,***,0.46,***,,,0.65,***,,,0.72,***,,,0.64,***,0.59,***,0.09,,0.64,***,0.77,***,,,,,0.79,***,1.0,***,0.64,***
R1.3-M,,,0.33,***,,,0.71,***,0.17,**,,,0.7,***,0.14,**,,,0.95,***,,,0.67,***,,,1.0,***,0.92,***,0.02,,0.99,***,0.64,***,,,,,0.73,***,0.64,***,1.0,***
