,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R,R_p-value,FAIR,FAIR_p-value,R1.3-M,R1.3-M_p-value
F1-M,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-D,,,1.0,***,,,0.19,*,-0.01,,,,0.27,**,0.13,,,,0.31,***,,,0.23,**,,,0.03,,,,0.02,,0.03,,0.06,,,,,,0.05,,0.18,*,0.03,
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,,,0.19,*,,,1.0,***,0.16,,,,1.0,***,0.55,***,,,0.59,***,,,0.66,***,,,0.71,***,,,0.19,*,0.72,***,0.49,***,,,,,0.78,***,0.92,***,0.71,***
F3-M,,,-0.01,,,,0.16,,1.0,***,,,0.16,,0.07,,,,-0.04,,,,0.04,,,,-0.05,,,,0.01,,-0.04,,0.03,,,,,,-0.02,,0.07,,-0.05,
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,0.27,**,,,1.0,***,0.16,,,,1.0,***,0.55,***,,,0.6,***,,,0.66,***,,,0.69,***,,,0.19,*,0.7,***,0.49,***,,,,,0.77,***,0.92,***,0.69,***
A1-D,,,0.13,,,,0.55,***,0.07,,,,0.55,***,1.0,***,,,0.42,***,,,0.92,***,,,0.49,***,,,-0.11,,0.45,***,0.06,,,,,,0.4,***,0.72,***,0.49,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,,,0.31,***,,,0.59,***,-0.04,,,,0.6,***,0.42,***,,,1.0,***,,,0.73,***,,,0.77,***,,,0.06,,0.76,***,0.19,*,,,,,0.68,***,0.68,***,0.77,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,,,0.23,**,,,0.66,***,0.04,,,,0.66,***,0.92,***,,,0.73,***,,,1.0,***,,,0.69,***,,,-0.05,,0.65,***,0.13,,,,,,0.58,***,0.83,***,0.69,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,,,0.03,,,,0.71,***,-0.05,,,,0.69,***,0.49,***,,,0.77,***,,,0.69,***,,,1.0,***,,,0.07,,0.98,***,0.22,**,,,,,0.86,***,0.76,***,1.0,***
I2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,
I3-D,,,0.02,,,,0.19,*,0.01,,,,0.19,*,-0.11,,,,0.06,,,,-0.05,,,,0.07,,,,1.0,***,0.27,**,-0.05,,,,,,0.03,,0.17,,0.07,
I,,,0.03,,,,0.72,***,-0.04,,,,0.7,***,0.45,***,,,0.76,***,,,0.65,***,,,0.98,***,,,0.27,**,1.0,***,0.2,*,,,,,0.84,***,0.76,***,0.98,***
R1.1,,,0.06,,,,0.49,***,0.03,,,,0.49,***,0.06,,,,0.19,*,,,0.13,,,,0.22,**,,,-0.05,,0.2,*,1.0,***,,,,,0.68,***,0.51,***,0.22,**
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R,,,0.05,,,,0.78,***,-0.02,,,,0.77,***,0.4,***,,,0.68,***,,,0.58,***,,,0.86,***,,,0.03,,0.84,***,0.68,***,,,,,1.0,***,0.83,***,0.86,***
FAIR,,,0.18,*,,,0.92,***,0.07,,,,0.92,***,0.72,***,,,0.68,***,,,0.83,***,,,0.76,***,,,0.17,,0.76,***,0.51,***,,,,,0.83,***,1.0,***,0.76,***
R1.3-M,,,0.03,,,,0.71,***,-0.05,,,,0.69,***,0.49,***,,,0.77,***,,,0.69,***,,,1.0,***,,,0.07,,0.98,***,0.22,**,,,,,0.86,***,0.76,***,1.0,***
