,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R1.3-M,R1.3-M_p-value,R,R_p-value,FAIR,FAIR_p-value
F1-M,1.0,***,0.71,***,,,0.24,,1.0,***,,,0.24,,0.14,,,,0.43,**,,,0.24,,,,0.43,**,1.0,***,0.08,,0.28,*,0.09,,,,,,0.43,**,0.28,*,0.24,
F1-D,0.71,***,1.0,***,,,0.15,,0.71,***,,,0.34,*,0.2,,,,0.61,***,,,0.34,*,,,0.61,***,0.71,***,0.12,,0.38,**,0.12,,,,,,0.61,***,0.4,**,0.33,*
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,0.24,,0.15,,,,1.0,***,0.24,,,,0.96,***,0.69,***,,,0.29,*,,,0.69,***,,,0.17,,0.24,,0.4,**,0.41,**,0.26,,,,,,0.17,,0.32,*,0.91,***
F3-M,1.0,***,0.71,***,,,0.24,,1.0,***,,,0.24,,0.14,,,,0.43,**,,,0.24,,,,0.43,**,1.0,***,0.08,,0.28,*,0.09,,,,,,0.43,**,0.28,*,0.24,
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,0.24,,0.34,*,,,0.96,***,0.24,,,,1.0,***,0.71,***,,,0.41,**,,,0.73,***,,,0.29,*,0.24,,0.41,**,0.47,***,0.28,*,,,,,0.29,*,0.39,**,0.95,***
A1-D,0.14,,0.2,,,,0.69,***,0.14,,,,0.71,***,1.0,***,,,0.33,*,,,0.97,***,,,0.2,,0.14,,0.07,,0.15,,-0.1,,,,,,0.2,,0.01,,0.71,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,0.43,**,0.61,***,,,0.29,*,0.43,**,,,0.41,**,0.33,*,,,1.0,***,,,0.56,***,,,0.34,*,0.43,**,-0.1,,0.07,,0.2,,,,,,0.34,*,0.34,*,0.43,**
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,0.24,,0.34,*,,,0.69,***,0.24,,,,0.73,***,0.97,***,,,0.56,***,,,1.0,***,,,0.27,,0.24,,0.04,,0.15,,-0.03,,,,,,0.27,,0.09,,0.73,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,0.43,**,0.61,***,,,0.17,,0.43,**,,,0.29,*,0.2,,,,0.34,*,,,0.27,,,,1.0,***,0.43,**,0.19,,0.6,***,-0.09,,,,,,1.0,***,0.44,***,0.45,***
I2,1.0,***,0.71,***,,,0.24,,1.0,***,,,0.24,,0.14,,,,0.43,**,,,0.24,,,,0.43,**,1.0,***,0.08,,0.28,*,0.09,,,,,,0.43,**,0.28,*,0.24,
I3-D,0.08,,0.12,,,,0.4,**,0.08,,,,0.41,**,0.07,,,,-0.1,,,,0.04,,,,0.19,,0.08,,1.0,***,0.9,***,-0.18,,,,,,0.19,,-0.06,,0.43,**
I,0.28,*,0.38,**,,,0.41,**,0.28,*,,,0.47,***,0.15,,,,0.07,,,,0.15,,,,0.6,***,0.28,*,0.9,***,1.0,***,-0.18,,,,,,0.6,***,0.15,,0.55,***
R1.1,0.09,,0.12,,,,0.26,,0.09,,,,0.28,*,-0.1,,,,0.2,,,,-0.03,,,,-0.09,,0.09,,-0.18,,-0.18,,1.0,***,,,,,-0.09,,0.85,***,0.25,
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R1.3-M,0.43,**,0.61,***,,,0.17,,0.43,**,,,0.29,*,0.2,,,,0.34,*,,,0.27,,,,1.0,***,0.43,**,0.19,,0.6,***,-0.09,,,,,,1.0,***,0.44,***,0.45,***
R,0.28,*,0.4,**,,,0.32,*,0.28,*,,,0.39,**,0.01,,,,0.34,*,,,0.09,,,,0.44,***,0.28,*,-0.06,,0.15,,0.85,***,,,,,0.44,***,1.0,***,0.47,***
FAIR,0.24,,0.33,*,,,0.91,***,0.24,,,,0.95,***,0.71,***,,,0.43,**,,,0.73,***,,,0.45,***,0.24,,0.43,**,0.55,***,0.25,,,,,,0.45,***,0.47,***,1.0,***
