,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R1.3-M,R1.3-M_p-value,R,R_p-value,FAIR,FAIR_p-value
F1-M,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-D,,,1.0,***,,,0.06,,0.59,***,,,0.47,**,0.4,**,,,0.85,***,,,0.51,***,,,0.42,**,0.59,***,0.07,,0.39,**,0.07,,,,,,0.42,**,0.37,*,0.45,**
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,,,0.06,,,,1.0,***,0.28,,,,0.87,***,0.53,***,,,0.11,,,,0.5,***,,,0.3,,0.28,,0.24,,0.37,*,0.36,*,,,,,0.3,,0.43,**,0.82,***
F3-M,,,0.59,***,,,0.28,,1.0,***,,,0.28,,0.22,,,,0.48,**,,,0.29,,,,0.38,*,1.0,***,0.04,,0.37,*,0.04,,,,,,0.38,*,0.32,*,0.27,
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,0.47,**,,,0.87,***,0.28,,,,1.0,***,0.67,***,,,0.46,**,,,0.69,***,,,0.4,**,0.28,,0.25,,0.46,**,0.36,*,,,,,0.4,**,0.51,***,0.95,***
A1-D,,,0.4,**,,,0.53,***,0.22,,,,0.67,***,1.0,***,,,0.46,**,,,0.99,***,,,0.24,,0.22,,-0.2,,0.09,,0.0,,,,,,0.24,,0.19,,0.65,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,,,0.85,***,,,0.11,,0.48,**,,,0.46,**,0.46,**,,,1.0,***,,,0.6,***,,,0.56,***,0.48,**,0.09,,0.5,***,0.09,,,,,,0.56,***,0.49,***,0.52,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,,,0.51,***,,,0.5,***,0.29,,,,0.69,***,0.99,***,,,0.6,***,,,1.0,***,,,0.33,*,0.29,,-0.16,,0.18,,0.02,,,,,,0.33,*,0.27,,0.69,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,,,0.42,**,,,0.3,,0.38,*,,,0.4,**,0.24,,,,0.56,***,,,0.33,*,,,1.0,***,0.38,*,0.11,,0.85,***,0.11,,,,,,1.0,***,0.85,***,0.6,***
I2,,,0.59,***,,,0.28,,1.0,***,,,0.28,,0.22,,,,0.48,**,,,0.29,,,,0.38,*,1.0,***,0.04,,0.37,*,0.04,,,,,,0.38,*,0.32,*,0.27,
I3-D,,,0.07,,,,0.24,,0.04,,,,0.25,,-0.2,,,,0.09,,,,-0.16,,,,0.11,,0.04,,1.0,***,0.62,***,0.28,,,,,,0.11,,0.24,,0.28,
I,,,0.39,**,,,0.37,*,0.37,*,,,0.46,**,0.09,,,,0.5,***,,,0.18,,,,0.85,***,0.37,*,0.62,***,1.0,***,0.24,,,,,,0.85,***,0.79,***,0.63,***
R1.1,,,0.07,,,,0.36,*,0.04,,,,0.36,*,0.0,,,,0.09,,,,0.02,,,,0.11,,0.04,,0.28,,0.24,,1.0,***,,,,,0.11,,0.62,***,0.43,**
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R1.3-M,,,0.42,**,,,0.3,,0.38,*,,,0.4,**,0.24,,,,0.56,***,,,0.33,*,,,1.0,***,0.38,*,0.11,,0.85,***,0.11,,,,,,1.0,***,0.85,***,0.6,***
R,,,0.37,*,,,0.43,**,0.32,*,,,0.51,***,0.19,,,,0.49,***,,,0.27,,,,0.85,***,0.32,*,0.24,,0.79,***,0.62,***,,,,,0.85,***,1.0,***,0.71,***
FAIR,,,0.45,**,,,0.82,***,0.27,,,,0.95,***,0.65,***,,,0.52,***,,,0.69,***,,,0.6,***,0.27,,0.28,,0.63,***,0.43,**,,,,,0.6,***,0.71,***,1.0,***
