,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R,R_p-value,FAIR,FAIR_p-value,R1.3-M,R1.3-M_p-value
F1-M,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-D,,,1.0,***,,,-0.07,,-0.02,,,,0.26,,0.15,,,,0.56,***,,,0.27,,,,0.56,***,-0.02,,0.04,,0.4,**,0.11,,,,,,0.29,,0.25,,0.56,***
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,,,-0.07,,,,1.0,***,0.27,,,,0.95,***,0.62,***,,,0.25,,,,0.63,***,,,0.25,,0.27,,0.26,,0.35,*,0.39,**,,,,,0.43,**,0.93,***,0.25,
F3-M,,,-0.02,,,,0.27,,1.0,***,,,0.27,,0.15,,,,0.56,***,,,0.27,,,,0.56,***,1.0,***,0.04,,0.43,**,0.11,,,,,,0.29,,0.26,,0.56,***
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,0.26,,,,0.95,***,0.27,,,,1.0,***,0.65,***,,,0.44,**,,,0.7,***,,,0.44,**,0.27,,0.27,,0.48,**,0.42,**,,,,,0.51,***,0.98,***,0.44,**
A1-D,,,0.15,,,,0.62,***,0.15,,,,0.65,***,1.0,***,,,0.26,,,,0.97,***,,,0.26,,0.15,,-0.07,,0.13,,-0.1,,,,,,0.0,,0.66,***,0.26,
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,,,0.56,***,,,0.25,,0.56,***,,,0.44,**,0.26,,,,1.0,***,,,0.49,***,,,1.0,***,0.56,***,0.08,,0.73,***,0.19,,,,,,0.51,***,0.45,**,1.0,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,,,0.27,,,,0.63,***,0.27,,,,0.7,***,0.97,***,,,0.49,***,,,1.0,***,,,0.49,***,0.27,,-0.05,,0.3,,-0.05,,,,,,0.13,,0.71,***,0.49,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,,,0.56,***,,,0.25,,0.56,***,,,0.44,**,0.26,,,,1.0,***,,,0.49,***,,,1.0,***,0.56,***,0.08,,0.73,***,0.19,,,,,,0.51,***,0.45,**,1.0,***
I2,,,-0.02,,,,0.27,,1.0,***,,,0.27,,0.15,,,,0.56,***,,,0.27,,,,0.56,***,1.0,***,0.04,,0.43,**,0.11,,,,,,0.29,,0.26,,0.56,***
I3-D,,,0.04,,,,0.26,,0.04,,,,0.27,,-0.07,,,,0.08,,,,-0.05,,,,0.08,,0.04,,1.0,***,0.73,***,0.0,,,,,,0.03,,0.28,,0.08,
I,,,0.4,**,,,0.35,*,0.43,**,,,0.48,**,0.13,,,,0.73,***,,,0.3,,,,0.73,***,0.43,**,0.73,***,1.0,***,0.13,,,,,,0.37,*,0.5,***,0.73,***
R1.1,,,0.11,,,,0.39,**,0.11,,,,0.42,**,-0.1,,,,0.19,,,,-0.05,,,,0.19,,0.11,,0.0,,0.13,,1.0,***,,,,,0.94,***,0.5,***,0.19,
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R,,,0.29,,,,0.43,**,0.29,,,,0.51,***,0.0,,,,0.51,***,,,0.13,,,,0.51,***,0.29,,0.03,,0.37,*,0.94,***,,,,,1.0,***,0.59,***,0.51,***
FAIR,,,0.25,,,,0.93,***,0.26,,,,0.98,***,0.66,***,,,0.45,**,,,0.71,***,,,0.45,**,0.26,,0.28,,0.5,***,0.5,***,,,,,0.59,***,1.0,***,0.45,**
R1.3-M,,,0.56,***,,,0.25,,0.56,***,,,0.44,**,0.26,,,,1.0,***,,,0.49,***,,,1.0,***,0.56,***,0.08,,0.73,***,0.19,,,,,,0.51,***,0.45,**,1.0,***
