,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R1.3-M,R1.3-M_p-value,R,R_p-value,FAIR,FAIR_p-value
F1-M,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-D,,,1.0,***,,,0.24,***,,,,,0.26,***,0.16,**,,,0.73,***,,,0.28,***,,,0.33,***,0.64,***,0.08,,0.26,***,0.13,*,,,,,0.33,***,0.23,***,0.25,***
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,,,0.24,***,,,1.0,***,,,,,1.0,***,0.61,***,,,0.27,***,,,0.62,***,,,0.3,***,0.17,**,0.25,***,0.38,***,0.74,***,,,,,0.3,***,0.74,***,0.95,***
F3-M,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,0.26,***,,,1.0,***,,,,,1.0,***,0.61,***,,,0.28,***,,,0.62,***,,,0.3,***,0.17,**,0.25,***,0.38,***,0.74,***,,,,,0.3,***,0.74,***,0.95,***
A1-D,,,0.16,**,,,0.61,***,,,,,0.61,***,1.0,***,,,0.23,***,,,0.99,***,,,-0.02,,0.11,,0.04,,0.02,,0.26,***,,,,,-0.02,,0.21,***,0.59,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,,,0.73,***,,,0.27,***,,,,,0.28,***,0.23,***,,,1.0,***,,,0.38,***,,,0.45,***,0.47,***,0.12,*,0.35,***,0.11,*,,,,,0.45,***,0.27,***,0.32,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,,,0.28,***,,,0.62,***,,,,,0.62,***,0.99,***,,,0.38,***,,,1.0,***,,,0.06,,0.18,***,0.05,,0.08,,0.27,***,,,,,0.06,,0.25,***,0.62,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,,,0.33,***,,,0.3,***,,,,,0.3,***,-0.02,,,,0.45,***,,,0.06,,,,1.0,***,0.26,***,-0.02,,0.56,***,0.19,***,,,,,1.0,***,0.57,***,0.48,***
I2,,,0.64,***,,,0.17,**,,,,,0.17,**,0.11,,,,0.47,***,,,0.18,***,,,0.26,***,1.0,***,0.05,,0.2,***,0.08,,,,,,0.26,***,0.17,**,0.17,**
I3-D,,,0.08,,,,0.25,***,,,,,0.25,***,0.04,,,,0.12,*,,,0.05,,,,-0.02,,0.05,,1.0,***,0.82,***,-0.02,,,,,,-0.02,,-0.03,,0.31,***
I,,,0.26,***,,,0.38,***,,,,,0.38,***,0.02,,,,0.35,***,,,0.08,,,,0.56,***,0.2,***,0.82,***,1.0,***,0.1,,,,,,0.56,***,0.3,***,0.53,***
R1.1,,,0.13,*,,,0.74,***,,,,,0.74,***,0.26,***,,,0.11,*,,,0.27,***,,,0.19,***,0.08,,-0.02,,0.1,,1.0,***,,,,,0.19,***,0.91,***,0.72,***
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R1.3-M,,,0.33,***,,,0.3,***,,,,,0.3,***,-0.02,,,,0.45,***,,,0.06,,,,1.0,***,0.26,***,-0.02,,0.56,***,0.19,***,,,,,1.0,***,0.57,***,0.48,***
R,,,0.23,***,,,0.74,***,,,,,0.74,***,0.21,***,,,0.27,***,,,0.25,***,,,0.57,***,0.17,**,-0.03,,0.3,***,0.91,***,,,,,0.57,***,1.0,***,0.8,***
FAIR,,,0.25,***,,,0.95,***,,,,,0.95,***,0.59,***,,,0.32,***,,,0.62,***,,,0.48,***,0.17,**,0.31,***,0.53,***,0.72,***,,,,,0.48,***,0.8,***,1.0,***
