,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R,R_p-value,FAIR,FAIR_p-value,R1.3-M,R1.3-M_p-value
F1-M,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-D,,,1.0,***,,,0.25,***,,,,,0.26,***,0.17,**,,,0.7,***,,,0.28,***,,,0.7,***,0.64,***,0.08,,0.31,***,0.13,*,,,,,0.28,***,0.25,***,0.7,***
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,,,0.25,***,,,1.0,***,,,,,1.0,***,0.64,***,,,0.34,***,,,0.66,***,,,0.35,***,0.17,**,0.25,***,0.34,***,0.74,***,,,,,0.78,***,0.95,***,0.35,***
F3-M,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,0.26,***,,,1.0,***,,,,,1.0,***,0.64,***,,,0.35,***,,,0.66,***,,,0.35,***,0.17,**,0.25,***,0.35,***,0.74,***,,,,,0.78,***,0.95,***,0.35,***
A1-D,,,0.17,**,,,0.64,***,,,,,0.64,***,1.0,***,,,0.24,***,,,0.99,***,,,0.24,***,0.11,*,0.1,,0.17,**,0.34,***,,,,,0.37,***,0.73,***,0.24,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,,,0.7,***,,,0.34,***,,,,,0.35,***,0.24,***,,,1.0,***,,,0.4,***,,,0.93,***,0.46,***,0.12,*,0.42,***,0.15,**,,,,,0.37,***,0.35,***,0.93,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,,,0.28,***,,,0.66,***,,,,,0.66,***,0.99,***,,,0.4,***,,,1.0,***,,,0.39,***,0.18,***,0.12,*,0.23,***,0.34,***,,,,,0.41,***,0.75,***,0.39,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,,,0.7,***,,,0.35,***,,,,,0.35,***,0.24,***,,,0.93,***,,,0.39,***,,,1.0,***,0.46,***,0.12,*,0.44,***,0.15,**,,,,,0.38,***,0.35,***,1.0,***
I2,,,0.64,***,,,0.17,**,,,,,0.17,**,0.11,*,,,0.46,***,,,0.18,***,,,0.46,***,1.0,***,0.06,,0.21,***,0.08,,,,,,0.18,***,0.17,**,0.46,***
I3-D,,,0.08,,,,0.25,***,,,,,0.25,***,0.1,,,,0.12,*,,,0.12,*,,,0.12,*,0.06,,1.0,***,0.94,***,-0.01,,,,,,0.02,,0.39,***,0.12,*
I,,,0.31,***,,,0.34,***,,,,,0.35,***,0.17,**,,,0.42,***,,,0.23,***,,,0.44,***,0.21,***,0.94,***,1.0,***,0.04,,,,,,0.14,**,0.47,***,0.44,***
R1.1,,,0.13,*,,,0.74,***,,,,,0.74,***,0.34,***,,,0.15,**,,,0.34,***,,,0.15,**,0.08,,-0.01,,0.04,,1.0,***,,,,,0.97,***,0.75,***,0.15,**
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R,,,0.28,***,,,0.78,***,,,,,0.78,***,0.37,***,,,0.37,***,,,0.41,***,,,0.38,***,0.18,***,0.02,,0.14,**,0.97,***,,,,,1.0,***,0.79,***,0.38,***
FAIR,,,0.25,***,,,0.95,***,,,,,0.95,***,0.73,***,,,0.35,***,,,0.75,***,,,0.35,***,0.17,**,0.39,***,0.47,***,0.75,***,,,,,0.79,***,1.0,***,0.35,***
R1.3-M,,,0.7,***,,,0.35,***,,,,,0.35,***,0.24,***,,,0.93,***,,,0.39,***,,,1.0,***,0.46,***,0.12,*,0.44,***,0.15,**,,,,,0.38,***,0.35,***,1.0,***
