,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R1.3-M,R,FAIR
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.01  CI=[-0.13, 0.14]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.41 *** CI=[0.26, 0.53]","0.52 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.74 *** CI=[0.54, 0.91]","nan  CI=[nan, nan]","0.56 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.64 *** CI=[0.36, 0.85]","0.28 *** CI=[nan, nan]","0.03  CI=[nan, nan]","0.60 *** CI=[0.35, 0.80]","0.14  CI=[0.08, 0.20]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.64 *** CI=[0.38, 0.83]","0.39 *** CI=[0.24, 0.52]","0.39 *** CI=[0.24, 0.50]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.01  CI=[-0.13, 0.14]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.89 *** CI=[0.79, 0.98]","0.16 * CI=[-0.03, 0.33]","nan  CI=[nan, nan]","-0.07  CI=[-0.22, 0.09]","nan  CI=[nan, nan]","0.14  CI=[-0.02, 0.31]","nan  CI=[nan, nan]","0.12  CI=[-0.05, 0.29]","0.20 * CI=[nan, nan]","0.18 * CI=[nan, nan]","0.18 * CI=[0.01, 0.35]","0.45 *** CI=[0.35, 0.56]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.12  CI=[-0.06, 0.30]","0.43 *** CI=[0.29, 0.54]","0.69 *** CI=[0.56, 0.81]"
F3-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.41 *** CI=[0.26, 0.53]","nan  CI=[nan, nan]","0.89 *** CI=[0.79, 0.98]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.36 *** CI=[0.19, 0.52]","nan  CI=[nan, nan]","0.23 ** CI=[0.02, 0.43]","nan  CI=[nan, nan]","0.36 *** CI=[0.18, 0.52]","nan  CI=[nan, nan]","0.37 *** CI=[0.17, 0.52]","0.28 *** CI=[nan, nan]","0.18 * CI=[nan, nan]","0.41 *** CI=[0.22, 0.55]","0.48 *** CI=[0.38, 0.58]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.37 *** CI=[0.20, 0.52]","0.55 *** CI=[0.44, 0.66]","0.80 *** CI=[0.69, 0.89]"
A1-D,"nan  CI=[nan, nan]","0.52 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.16 * CI=[-0.03, 0.33]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.36 *** CI=[0.19, 0.52]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.71 *** CI=[0.56, 0.83]","nan  CI=[nan, nan]","1.00 *** CI=[0.99, 1.00]","nan  CI=[nan, nan]","0.40 *** CI=[0.18, 0.59]","0.11  CI=[nan, nan]","0.05  CI=[nan, nan]","0.38 *** CI=[0.18, 0.57]","0.25 ** CI=[0.15, 0.32]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.40 *** CI=[0.18, 0.61]","0.38 *** CI=[0.24, 0.49]","0.61 *** CI=[0.50, 0.70]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.74 *** CI=[0.54, 0.91]","nan  CI=[nan, nan]","-0.07  CI=[-0.22, 0.09]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.23 ** CI=[0.02, 0.43]","0.71 *** CI=[0.56, 0.83]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.75 *** CI=[0.59, 0.87]","nan  CI=[nan, nan]","0.61 *** CI=[0.37, 0.81]","0.20 * CI=[nan, nan]","0.04  CI=[nan, nan]","0.57 *** CI=[0.32, 0.75]","0.19 * CI=[0.13, 0.25]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.61 *** CI=[0.36, 0.81]","0.42 *** CI=[0.27, 0.56]","0.49 *** CI=[0.37, 0.59]"
A2-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A,"nan  CI=[nan, nan]","0.56 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.14  CI=[-0.02, 0.31]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.36 *** CI=[0.18, 0.52]","1.00 *** CI=[0.99, 1.00]","nan  CI=[nan, nan]","0.75 *** CI=[0.59, 0.87]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.43 *** CI=[0.19, 0.62]","0.12  CI=[nan, nan]","0.05  CI=[nan, nan]","0.41 *** CI=[0.20, 0.59]","0.25 ** CI=[0.15, 0.32]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.43 *** CI=[0.19, 0.64]","0.39 *** CI=[0.25, 0.52]","0.61 *** CI=[0.50, 0.71]"
I1-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
I1-M,"nan  CI=[nan, nan]","0.64 *** CI=[0.36, 0.85]","nan  CI=[nan, nan]","0.12  CI=[-0.05, 0.29]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.37 *** CI=[0.17, 0.52]","0.40 *** CI=[0.18, 0.59]","nan  CI=[nan, nan]","0.61 *** CI=[0.37, 0.81]","nan  CI=[nan, nan]","0.43 *** CI=[0.19, 0.62]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.58 *** CI=[nan, nan]","0.04  CI=[nan, nan]","0.94 *** CI=[0.84, 1.00]","0.19 * CI=[0.14, 0.25]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.59 *** CI=[0.46, 0.69]","0.50 *** CI=[0.39, 0.61]"
I2,"nan  CI=[nan, nan]","0.28 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.20 * CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.28 *** CI=[nan, nan]","0.11  CI=[nan, nan]","nan  CI=[nan, nan]","0.20 * CI=[nan, nan]","nan  CI=[nan, nan]","0.12  CI=[nan, nan]","nan  CI=[nan, nan]","0.58 *** CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.02  CI=[nan, nan]","0.58 *** CI=[nan, nan]","0.11  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.58 *** CI=[nan, nan]","0.34 *** CI=[nan, nan]","0.29 *** CI=[nan, nan]"
I3-D,"nan  CI=[nan, nan]","0.03  CI=[nan, nan]","nan  CI=[nan, nan]","0.18 * CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.18 * CI=[nan, nan]","0.05  CI=[nan, nan]","nan  CI=[nan, nan]","0.04  CI=[nan, nan]","nan  CI=[nan, nan]","0.05  CI=[nan, nan]","nan  CI=[nan, nan]","0.04  CI=[nan, nan]","0.02  CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.37 *** CI=[nan, nan]","-0.07  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.04  CI=[nan, nan]","-0.04  CI=[nan, nan]","0.18 * CI=[nan, nan]"
I,"nan  CI=[nan, nan]","0.60 *** CI=[0.35, 0.80]","nan  CI=[nan, nan]","0.18 * CI=[0.01, 0.35]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.41 *** CI=[0.22, 0.55]","0.38 *** CI=[0.18, 0.57]","nan  CI=[nan, nan]","0.57 *** CI=[0.32, 0.75]","nan  CI=[nan, nan]","0.41 *** CI=[0.20, 0.59]","nan  CI=[nan, nan]","0.94 *** CI=[0.84, 1.00]","0.58 *** CI=[nan, nan]","0.37 *** CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.15  CI=[0.07, 0.23]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.94 *** CI=[0.83, 1.00]","0.53 *** CI=[0.35, 0.66]","0.53 *** CI=[0.41, 0.63]"
R1.1,"nan  CI=[nan, nan]","0.14  CI=[0.08, 0.20]","nan  CI=[nan, nan]","0.45 *** CI=[0.35, 0.56]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.48 *** CI=[0.38, 0.58]","0.25 ** CI=[0.15, 0.32]","nan  CI=[nan, nan]","0.19 * CI=[0.13, 0.25]","nan  CI=[nan, nan]","0.25 ** CI=[0.15, 0.32]","nan  CI=[nan, nan]","0.19 * CI=[0.14, 0.25]","0.11  CI=[nan, nan]","-0.07  CI=[nan, nan]","0.15  CI=[0.07, 0.23]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.19 * CI=[0.14, 0.25]","0.91 *** CI=[0.85, 0.95]","0.76 *** CI=[0.69, 0.83]"
R1.2,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R1.3-D,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
R1.3-M,"nan  CI=[nan, nan]","0.64 *** CI=[0.38, 0.83]","nan  CI=[nan, nan]","0.12  CI=[-0.06, 0.30]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.37 *** CI=[0.20, 0.52]","0.40 *** CI=[0.18, 0.61]","nan  CI=[nan, nan]","0.61 *** CI=[0.36, 0.81]","nan  CI=[nan, nan]","0.43 *** CI=[0.19, 0.64]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.58 *** CI=[nan, nan]","0.04  CI=[nan, nan]","0.94 *** CI=[0.83, 1.00]","0.19 * CI=[0.14, 0.25]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.59 *** CI=[0.45, 0.69]","0.50 *** CI=[0.39, 0.61]"
R,"nan  CI=[nan, nan]","0.39 *** CI=[0.24, 0.52]","nan  CI=[nan, nan]","0.43 *** CI=[0.29, 0.54]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.55 *** CI=[0.44, 0.66]","0.38 *** CI=[0.24, 0.49]","nan  CI=[nan, nan]","0.42 *** CI=[0.27, 0.56]","nan  CI=[nan, nan]","0.39 *** CI=[0.25, 0.52]","nan  CI=[nan, nan]","0.59 *** CI=[0.46, 0.69]","0.34 *** CI=[nan, nan]","-0.04  CI=[nan, nan]","0.53 *** CI=[0.35, 0.66]","0.91 *** CI=[0.85, 0.95]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.59 *** CI=[0.45, 0.69]","1.00 *** CI=[1.00, 1.00]","0.84 *** CI=[0.79, 0.89]"
FAIR,"nan  CI=[nan, nan]","0.39 *** CI=[0.24, 0.50]","nan  CI=[nan, nan]","0.69 *** CI=[0.56, 0.81]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.80 *** CI=[0.69, 0.89]","0.61 *** CI=[0.50, 0.70]","nan  CI=[nan, nan]","0.49 *** CI=[0.37, 0.59]","nan  CI=[nan, nan]","0.61 *** CI=[0.50, 0.71]","nan  CI=[nan, nan]","0.50 *** CI=[0.39, 0.61]","0.29 *** CI=[nan, nan]","0.18 * CI=[nan, nan]","0.53 *** CI=[0.41, 0.63]","0.76 *** CI=[0.69, 0.83]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.50 *** CI=[0.39, 0.61]","0.84 *** CI=[0.79, 0.89]","1.00 *** CI=[1.00, 1.00]"
