,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R,FAIR,R1.3-M
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.38 *** CI=[0.22, 0.49]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.42 *** CI=[0.25, 0.55]","0.34 *** CI=[0.24, 0.44]","nan  CI=[nan, nan]","0.79 *** CI=[0.62, 0.92]","nan  CI=[nan, nan]","0.49 *** CI=[0.34, 0.60]","nan  CI=[nan, nan]","0.59 *** CI=[0.31, 0.82]","0.32 *** CI=[nan, nan]","0.04  CI=[nan, nan]","0.54 *** CI=[0.27, 0.75]","0.17 * CI=[0.01, 0.28]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.31 *** CI=[0.10, 0.46]","0.43 *** CI=[0.28, 0.53]","0.59 *** CI=[0.29, 0.82]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.38 *** CI=[0.22, 0.49]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[0.99, 1.00]","0.61 *** CI=[0.51, 0.71]","nan  CI=[nan, nan]","0.50 *** CI=[0.35, 0.61]","nan  CI=[nan, nan]","0.66 *** CI=[0.56, 0.75]","nan  CI=[nan, nan]","0.47 *** CI=[0.35, 0.58]","0.25 ** CI=[nan, nan]","0.19 * CI=[nan, nan]","0.50 *** CI=[0.36, 0.61]","0.68 *** CI=[0.58, 0.77]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.73 *** CI=[0.64, 0.82]","0.94 *** CI=[0.90, 0.96]","0.47 *** CI=[0.35, 0.57]"
F3-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.42 *** CI=[0.25, 0.55]","nan  CI=[nan, nan]","1.00 *** CI=[0.99, 1.00]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.62 *** CI=[0.51, 0.71]","nan  CI=[nan, nan]","0.53 *** CI=[0.39, 0.64]","nan  CI=[nan, nan]","0.66 *** CI=[0.55, 0.76]","nan  CI=[nan, nan]","0.47 *** CI=[0.34, 0.59]","0.24 ** CI=[nan, nan]","0.19 * CI=[nan, nan]","0.50 *** CI=[0.38, 0.60]","0.67 *** CI=[0.56, 0.77]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.73 *** CI=[0.63, 0.81]","0.94 *** CI=[0.91, 0.96]","0.47 *** CI=[0.35, 0.59]"
A1-D,"nan  CI=[nan, nan]","0.34 *** CI=[0.24, 0.44]","nan  CI=[nan, nan]","0.61 *** CI=[0.51, 0.71]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.62 *** CI=[0.51, 0.71]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.44 *** CI=[0.34, 0.54]","nan  CI=[nan, nan]","0.98 *** CI=[0.96, 0.99]","nan  CI=[nan, nan]","0.36 *** CI=[0.26, 0.46]","0.18 * CI=[nan, nan]","0.02  CI=[nan, nan]","0.33 *** CI=[0.19, 0.45]","0.33 *** CI=[0.18, 0.47]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.39 *** CI=[0.24, 0.51]","0.75 *** CI=[0.68, 0.81]","0.36 *** CI=[0.26, 0.46]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","0.79 *** CI=[0.62, 0.92]","nan  CI=[nan, nan]","0.50 *** CI=[0.35, 0.61]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.53 *** CI=[0.39, 0.64]","0.44 *** CI=[0.34, 0.54]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.62 *** CI=[0.49, 0.72]","nan  CI=[nan, nan]","0.83 *** CI=[0.66, 0.95]","0.40 *** CI=[nan, nan]","0.05  CI=[nan, nan]","0.75 *** CI=[0.56, 0.89]","0.25 ** CI=[0.12, 0.35]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.45 *** CI=[0.27, 0.59]","0.54 *** CI=[0.42, 0.64]","0.83 *** CI=[0.66, 0.95]"
