,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R1.3-M,R1.3-M_p-value,R,R_p-value,FAIR,FAIR_p-value
F1-M,1.0,***,-0.02,,,,0.23,,1.0,***,,,0.23,,0.24,,,,-0.02,,,,0.23,,,,-0.02,,-0.02,,0.05,,0.03,,0.22,,,,,,-0.02,,0.21,,0.22,
F1-D,-0.02,,1.0,***,,,0.19,,-0.02,,,,0.24,,0.34,**,,,1.0,***,,,0.42,***,,,0.49,***,0.71,***,-0.2,,0.04,,0.31,*,,,,,0.49,***,0.35,**,0.3,*
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,0.23,,0.19,,,,1.0,***,0.23,,,,1.0,***,0.64,***,,,0.19,,,,0.63,***,,,0.31,*,0.23,,0.12,,0.24,,0.36,**,,,,,0.31,*,0.38,**,0.98,***
F3-M,1.0,***,-0.02,,,,0.23,,1.0,***,,,0.23,,0.24,,,,-0.02,,,,0.23,,,,-0.02,,-0.02,,0.05,,0.03,,0.22,,,,,,-0.02,,0.21,,0.22,
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,0.23,,0.24,,,,1.0,***,0.23,,,,1.0,***,0.66,***,,,0.24,,,,0.66,***,,,0.31,*,0.22,,0.09,,0.21,,0.38,**,,,,,0.31,*,0.4,**,0.99,***
A1-D,0.24,,0.34,**,,,0.64,***,0.24,,,,0.66,***,1.0,***,,,0.34,**,,,1.0,***,,,0.12,,0.24,,-0.12,,-0.05,,0.29,*,,,,,0.12,,0.29,*,0.7,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,-0.02,,1.0,***,,,0.19,,-0.02,,,,0.24,,0.34,**,,,1.0,***,,,0.42,***,,,0.48,***,0.7,***,-0.2,,0.03,,0.31,*,,,,,0.48,***,0.35,**,0.3,*
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,0.23,,0.42,***,,,0.63,***,0.23,,,,0.66,***,1.0,***,,,0.42,***,,,1.0,***,,,0.16,,0.29,*,-0.13,,-0.05,,0.31,*,,,,,0.16,,0.31,*,0.7,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,-0.02,,0.49,***,,,0.31,*,-0.02,,,,0.31,*,0.12,,,,0.48,***,,,0.16,,,,1.0,***,0.7,***,0.07,,0.48,***,0.31,*,,,,,1.0,***,0.4,**,0.32,*
I2,-0.02,,0.71,***,,,0.23,,-0.02,,,,0.22,,0.24,,,,0.7,***,,,0.29,*,,,0.7,***,1.0,***,0.05,,0.34,**,0.22,,,,,,0.7,***,0.28,*,0.23,
I3-D,0.05,,-0.2,,,,0.12,,0.05,,,,0.09,,-0.12,,,,-0.2,,,,-0.13,,,,0.07,,0.05,,1.0,***,0.91,***,-0.65,***,,,,,0.07,,-0.62,***,0.09,
I,0.03,,0.04,,,,0.24,,0.03,,,,0.21,,-0.05,,,,0.03,,,,-0.05,,,,0.48,***,0.34,**,0.91,***,1.0,***,-0.45,***,,,,,0.48,***,-0.38,**,0.21,
R1.1,0.22,,0.31,*,,,0.36,**,0.22,,,,0.38,**,0.29,*,,,0.31,*,,,0.31,*,,,0.31,*,0.22,,-0.65,***,-0.45,***,1.0,***,,,,,0.31,*,1.0,***,0.38,**
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R1.3-M,-0.02,,0.49,***,,,0.31,*,-0.02,,,,0.31,*,0.12,,,,0.48,***,,,0.16,,,,1.0,***,0.7,***,0.07,,0.48,***,0.31,*,,,,,1.0,***,0.4,**,0.32,*
R,0.21,,0.35,**,,,0.38,**,0.21,,,,0.4,**,0.29,*,,,0.35,**,,,0.31,*,,,0.4,**,0.28,*,-0.62,***,-0.38,**,1.0,***,,,,,0.4,**,1.0,***,0.4,**
FAIR,0.22,,0.3,*,,,0.98,***,0.22,,,,0.99,***,0.7,***,,,0.3,*,,,0.7,***,,,0.32,*,0.23,,0.09,,0.21,,0.38,**,,,,,0.32,*,0.4,**,1.0,***
