,F1-M,F1-D,F2a-M,F2b-M,F3-M,F4-M,F,A1-D,A1-M,A1.2,A2-M,A,I1-D,I1-M,I2,I3-D,I,R1.1,R1.2,R1.3-D,R,FAIR,R1.3-M
F1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F1-D,"nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.28 * CI=[nan, nan]","-0.02  CI=[nan, nan]","nan  CI=[nan, nan]","0.28 * CI=[nan, nan]","0.26  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.32 * CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.03  CI=[nan, nan]","0.51 *** CI=[nan, nan]","0.29 * CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.35 ** CI=[nan, nan]","0.29 * CI=[nan, nan]","1.00 *** CI=[nan, nan]"
F2a-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F2b-M,"nan  CI=[nan, nan]","0.28 * CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.28 * CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.80 *** CI=[0.60, 0.94]","nan  CI=[nan, nan]","0.28 * CI=[nan, nan]","nan  CI=[nan, nan]","0.80 *** CI=[0.62, 0.95]","nan  CI=[nan, nan]","0.28 * CI=[nan, nan]","0.28 * CI=[nan, nan]","-0.02  CI=[nan, nan]","0.12  CI=[nan, nan]","0.62 *** CI=[0.34, 0.83]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.63 *** CI=[0.34, 0.83]","1.00 *** CI=[0.98, 1.00]","0.28 * CI=[nan, nan]"
F3-M,"nan  CI=[nan, nan]","-0.02  CI=[nan, nan]","nan  CI=[nan, nan]","0.28 * CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.29 * CI=[nan, nan]","0.26  CI=[nan, nan]","nan  CI=[nan, nan]","-0.02  CI=[nan, nan]","nan  CI=[nan, nan]","0.25  CI=[nan, nan]","nan  CI=[nan, nan]","-0.02  CI=[nan, nan]","-0.02  CI=[nan, nan]","0.03  CI=[nan, nan]","0.02  CI=[nan, nan]","0.29 * CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.28 * CI=[nan, nan]","0.28 * CI=[nan, nan]","-0.02  CI=[nan, nan]"
F4-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
F,"nan  CI=[nan, nan]","0.28 * CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.29 * CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[1.00, 1.00]","0.80 *** CI=[0.61, 0.94]","nan  CI=[nan, nan]","0.28 * CI=[nan, nan]","nan  CI=[nan, nan]","0.80 *** CI=[0.62, 0.94]","nan  CI=[nan, nan]","0.28 * CI=[nan, nan]","0.28 * CI=[nan, nan]","-0.02  CI=[nan, nan]","0.11  CI=[nan, nan]","0.62 *** CI=[0.34, 0.82]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.63 *** CI=[0.31, 0.83]","1.00 *** CI=[0.98, 1.00]","0.28 * CI=[nan, nan]"
A1-D,"nan  CI=[nan, nan]","0.26  CI=[nan, nan]","nan  CI=[nan, nan]","0.80 *** CI=[0.60, 0.94]","0.26  CI=[nan, nan]","nan  CI=[nan, nan]","0.80 *** CI=[0.61, 0.94]","1.00 *** CI=[1.00, 1.00]","nan  CI=[nan, nan]","0.26  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[0.99, 1.00]","nan  CI=[nan, nan]","0.26  CI=[nan, nan]","0.26  CI=[nan, nan]","-0.07  CI=[nan, nan]","0.07  CI=[nan, nan]","0.32 * CI=[0.01, 0.60]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.33 * CI=[0.00, 0.62]","0.82 *** CI=[0.65, 0.96]","0.26  CI=[nan, nan]"
A1-M,"nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]"
A1.2,"nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.28 * CI=[nan, nan]","-0.02  CI=[nan, nan]","nan  CI=[nan, nan]","0.28 * CI=[nan, nan]","0.26  CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","nan  CI=[nan, nan]","0.32 * CI=[nan, nan]","nan  CI=[nan, nan]","1.00 *** CI=[nan, nan]","1.00 *** CI=[nan, nan]","0.03  CI=[nan, nan]","0.51 *** CI=[nan, nan]","0.29 * CI=[nan, nan]","nan  CI=[nan, nan]","nan  CI=[nan, nan]","0.35 ** CI=[nan, nan]","0.29 * CI=[nan, nan]","1.00 *** CI=[nan, nan]"
