,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R,R_p-value,FAIR,FAIR_p-value,R1.3-M,R1.3-M_p-value
F1-M,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-D,,,1.0,***,,,0.24,,-0.02,,,,0.24,,0.26,,,,1.0,***,,,0.32,*,,,1.0,***,1.0,***,0.03,,0.51,***,0.29,*,,,,,0.35,**,0.24,,1.0,***
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,,,0.24,,,,1.0,***,0.24,,,,1.0,***,0.65,***,,,0.24,,,,0.65,***,,,0.24,,0.24,,0.07,,0.18,,0.47,***,,,,,0.47,***,0.99,***,0.24,
F3-M,,,-0.02,,,,0.24,,1.0,***,,,0.24,,0.26,,,,-0.02,,,,0.25,,,,-0.02,,-0.02,,0.03,,0.02,,0.29,*,,,,,0.28,*,0.23,,-0.02,
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,0.24,,,,1.0,***,0.24,,,,1.0,***,0.65,***,,,0.24,,,,0.65,***,,,0.24,,0.24,,0.07,,0.18,,0.47,***,,,,,0.47,***,0.99,***,0.24,
A1-D,,,0.26,,,,0.65,***,0.26,,,,0.65,***,1.0,***,,,0.26,,,,1.0,***,,,0.26,,0.26,,-0.07,,0.07,,0.32,*,,,,,0.33,*,0.7,***,0.26,
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,,,1.0,***,,,0.24,,-0.02,,,,0.24,,0.26,,,,1.0,***,,,0.32,*,,,1.0,***,1.0,***,0.03,,0.51,***,0.29,*,,,,,0.35,**,0.24,,1.0,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,,,0.32,*,,,0.65,***,0.25,,,,0.65,***,1.0,***,,,0.32,*,,,1.0,***,,,0.32,*,0.32,*,-0.07,,0.1,,0.34,*,,,,,0.35,**,0.7,***,0.32,*
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,,,1.0,***,,,0.24,,-0.02,,,,0.24,,0.26,,,,1.0,***,,,0.32,*,,,1.0,***,1.0,***,0.03,,0.51,***,0.29,*,,,,,0.35,**,0.24,,1.0,***
I2,,,1.0,***,,,0.24,,-0.02,,,,0.24,,0.26,,,,1.0,***,,,0.32,*,,,1.0,***,1.0,***,0.03,,0.51,***,0.29,*,,,,,0.35,**,0.24,,1.0,***
I3-D,,,0.03,,,,0.07,,0.03,,,,0.07,,-0.07,,,,0.03,,,,-0.07,,,,0.03,,0.03,,1.0,***,0.87,***,-0.51,***,,,,,-0.5,***,0.07,,0.03,
I,,,0.51,***,,,0.18,,0.02,,,,0.18,,0.07,,,,0.51,***,,,0.1,,,,0.51,***,0.51,***,0.87,***,1.0,***,-0.3,*,,,,,-0.26,,0.18,,0.51,***
R1.1,,,0.29,*,,,0.47,***,0.29,*,,,0.47,***,0.32,*,,,0.29,*,,,0.34,*,,,0.29,*,0.29,*,-0.51,***,-0.3,*,1.0,***,,,,,1.0,***,0.46,***,0.29,*
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R,,,0.35,**,,,0.47,***,0.28,*,,,0.47,***,0.33,*,,,0.35,**,,,0.35,**,,,0.35,**,0.35,**,-0.5,***,-0.26,,1.0,***,,,,,1.0,***,0.47,***,0.35,**
FAIR,,,0.24,,,,0.99,***,0.23,,,,0.99,***,0.7,***,,,0.24,,,,0.7,***,,,0.24,,0.24,,0.07,,0.18,,0.46,***,,,,,0.47,***,1.0,***,0.24,
R1.3-M,,,1.0,***,,,0.24,,-0.02,,,,0.24,,0.26,,,,1.0,***,,,0.32,*,,,1.0,***,1.0,***,0.03,,0.51,***,0.29,*,,,,,0.35,**,0.24,,1.0,***
