,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R1.3-M,R1.3-M_p-value,R,R_p-value,FAIR,FAIR_p-value
F1-M,1.0,***,-0.04,,,,0.31,***,1.0,***,,,0.4,***,0.24,*,,,0.12,,,,0.24,**,,,0.02,,,,-0.06,,-0.03,,0.1,,,,,,0.02,,0.09,,0.31,***
F1-D,-0.04,,1.0,***,,,0.26,**,-0.04,,,,0.25,**,0.16,,,,0.7,***,,,0.3,**,,,0.41,***,,,0.13,,0.27,**,0.07,,,,,,0.41,***,0.34,***,0.28,**
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,0.31,***,0.26,**,,,1.0,***,0.31,***,,,0.99,***,0.78,***,,,0.31,***,,,0.79,***,,,0.42,***,,,0.64,***,0.7,***,0.21,*,,,,,0.42,***,0.45,***,0.95,***
F3-M,1.0,***,-0.04,,,,0.31,***,1.0,***,,,0.4,***,0.24,*,,,0.12,,,,0.24,**,,,0.02,,,,-0.06,,-0.03,,0.1,,,,,,0.02,,0.09,,0.31,***
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,0.4,***,0.25,**,,,0.99,***,0.4,***,,,1.0,***,0.78,***,,,0.31,**,,,0.79,***,,,0.4,***,,,0.61,***,0.66,***,0.21,*,,,,,0.4,***,0.44,***,0.95,***
A1-D,0.24,*,0.16,,,,0.78,***,0.24,*,,,0.78,***,1.0,***,,,0.24,*,,,0.98,***,,,0.35,***,,,0.4,***,0.48,***,0.13,,,,,,0.35,***,0.35,***,0.82,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,0.12,,0.7,***,,,0.31,***,0.12,,,,0.31,**,0.24,*,,,1.0,***,,,0.44,***,,,0.36,***,,,0.1,,0.25,**,0.1,,,,,,0.36,***,0.33,***,0.36,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,0.24,**,0.3,**,,,0.79,***,0.24,**,,,0.79,***,0.98,***,,,0.44,***,,,1.0,***,,,0.4,***,,,0.4,***,0.5,***,0.15,,,,,,0.4,***,0.39,***,0.83,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,0.02,,0.41,***,,,0.42,***,0.02,,,,0.4,***,0.35,***,,,0.36,***,,,0.4,***,,,1.0,***,,,0.26,**,0.64,***,-0.04,,,,,,1.0,***,0.68,***,0.58,***
I2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,
I3-D,-0.06,,0.13,,,,0.64,***,-0.06,,,,0.61,***,0.4,***,,,0.1,,,,0.4,***,,,0.26,**,,,1.0,***,0.91,***,-0.28,**,,,,,0.26,**,-0.02,,0.64,***
I,-0.03,,0.27,**,,,0.7,***,-0.03,,,,0.66,***,0.48,***,,,0.25,**,,,0.5,***,,,0.64,***,,,0.91,***,1.0,***,-0.24,*,,,,,0.64,***,0.28,**,0.76,***
R1.1,0.1,,0.07,,,,0.21,*,0.1,,,,0.21,*,0.13,,,,0.1,,,,0.15,,,,-0.04,,,,-0.28,**,-0.24,*,1.0,***,,,,,-0.04,,0.7,***,0.19,*
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R1.3-M,0.02,,0.41,***,,,0.42,***,0.02,,,,0.4,***,0.35,***,,,0.36,***,,,0.4,***,,,1.0,***,,,0.26,**,0.64,***,-0.04,,,,,,1.0,***,0.68,***,0.58,***
R,0.09,,0.34,***,,,0.45,***,0.09,,,,0.44,***,0.35,***,,,0.33,***,,,0.39,***,,,0.68,***,,,-0.02,,0.28,**,0.7,***,,,,,0.68,***,1.0,***,0.56,***
FAIR,0.31,***,0.28,**,,,0.95,***,0.31,***,,,0.95,***,0.82,***,,,0.36,***,,,0.83,***,,,0.58,***,,,0.64,***,0.76,***,0.19,*,,,,,0.58,***,0.56,***,1.0,***
