,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R1.3-M,R1.3-M_p-value,R,R_p-value,FAIR,FAIR_p-value
F1-M,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-D,,,1.0,***,,,0.13,,-0.03,,,,0.3,*,0.4,***,,,0.62,***,,,0.44,***,,,0.56,***,-0.02,,0.09,,0.33,**,0.05,,,,,,0.56,***,0.41,***,0.3,**
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,,,0.13,,,,1.0,***,0.29,*,,,0.98,***,0.27,*,,,0.01,,,,0.25,*,,,0.17,,0.18,,0.35,**,0.36,**,0.54,***,,,,,0.17,,0.48,***,0.81,***
F3-M,,,-0.03,,,,0.29,*,1.0,***,,,0.32,**,0.4,***,,,-0.05,,,,0.36,**,,,-0.05,,-0.02,,-0.12,,-0.12,,0.05,,,,,,-0.05,,0.0,,0.23,
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,0.3,*,,,0.98,***,0.32,**,,,1.0,***,0.34,**,,,0.12,,,,0.33,**,,,0.25,*,0.17,,0.34,**,0.4,***,0.53,***,,,,,0.25,*,0.53,***,0.84,***
A1-D,,,0.4,***,,,0.27,*,0.4,***,,,0.34,**,1.0,***,,,0.64,***,,,1.0,***,,,0.29,*,-0.05,,-0.07,,0.08,,0.13,,,,,,0.29,*,0.28,*,0.52,***
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,,,0.62,***,,,0.01,,-0.05,,,,0.12,,0.64,***,,,1.0,***,,,0.7,***,,,0.51,***,-0.03,,0.14,,0.35,**,0.08,,,,,,0.51,***,0.4,***,0.45,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,,,0.44,***,,,0.25,*,0.36,**,,,0.33,**,1.0,***,,,0.7,***,,,1.0,***,,,0.32,**,-0.05,,-0.05,,0.11,,0.13,,,,,,0.32,**,0.31,**,0.54,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,,,0.56,***,,,0.17,,-0.05,,,,0.25,*,0.29,*,,,0.51,***,,,0.32,**,,,1.0,***,0.39,***,0.15,,0.6,***,0.09,,,,,,1.0,***,0.74,***,0.51,***
I2,,,-0.02,,,,0.18,,-0.02,,,,0.17,,-0.05,,,,-0.03,,,,-0.05,,,,0.39,***,1.0,***,0.06,,0.25,*,0.04,,,,,,0.39,***,0.29,*,0.2,
I3-D,,,0.09,,,,0.35,**,-0.12,,,,0.34,**,-0.07,,,,0.14,,,,-0.05,,,,0.15,,0.06,,1.0,***,0.88,***,-0.03,,,,,,0.15,,0.08,,0.5,***
I,,,0.33,**,,,0.36,**,-0.12,,,,0.4,***,0.08,,,,0.35,**,,,0.11,,,,0.6,***,0.25,*,0.88,***,1.0,***,0.02,,,,,,0.6,***,0.42,***,0.64,***
R1.1,,,0.05,,,,0.54,***,0.05,,,,0.53,***,0.13,,,,0.08,,,,0.13,,,,0.09,,0.04,,-0.03,,0.02,,1.0,***,,,,,0.09,,0.74,***,0.5,***
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R1.3-M,,,0.56,***,,,0.17,,-0.05,,,,0.25,*,0.29,*,,,0.51,***,,,0.32,**,,,1.0,***,0.39,***,0.15,,0.6,***,0.09,,,,,,1.0,***,0.74,***,0.51,***
R,,,0.41,***,,,0.48,***,0.0,,,,0.53,***,0.28,*,,,0.4,***,,,0.31,**,,,0.74,***,0.29,*,0.08,,0.42,***,0.74,***,,,,,0.74,***,1.0,***,0.68,***
FAIR,,,0.3,**,,,0.81,***,0.23,,,,0.84,***,0.52,***,,,0.45,***,,,0.54,***,,,0.51,***,0.2,,0.5,***,0.64,***,0.5,***,,,,,0.51,***,0.68,***,1.0,***
