,F1-M,F1-M_p-value,F1-D,F1-D_p-value,F2a-M,F2a-M_p-value,F2b-M,F2b-M_p-value,F3-M,F3-M_p-value,F4-M,F4-M_p-value,F,F_p-value,A1-D,A1-D_p-value,A1-M,A1-M_p-value,A1.2,A1.2_p-value,A2-M,A2-M_p-value,A,A_p-value,I1-D,I1-D_p-value,I1-M,I1-M_p-value,I2,I2_p-value,I3-D,I3-D_p-value,I,I_p-value,R1.1,R1.1_p-value,R1.2,R1.2_p-value,R1.3-D,R1.3-D_p-value,R,R_p-value,FAIR,FAIR_p-value,R1.3-M,R1.3-M_p-value
F1-M,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1-D,,,1.0,***,,,0.22,,-0.03,,,,0.28,*,0.15,,,,0.7,***,,,0.31,**,,,0.81,***,,,0.08,,0.38,**,0.09,,,,,,0.37,**,0.29,*,0.81,***
F2a-M,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F2b-M,,,0.22,,,,1.0,***,0.18,,,,0.99,***,0.77,***,,,0.34,**,,,0.79,***,,,0.27,*,,,0.46,***,0.51,***,0.48,***,,,,,0.52,***,0.98,***,0.27,*
F3-M,,,-0.03,,,,0.18,,1.0,***,,,0.29,*,0.15,,,,-0.04,,,,0.12,,,,-0.04,,,,-0.13,,-0.13,,0.09,,,,,,0.07,,0.13,,-0.04,
F4-M,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,,,0.28,*,,,0.99,***,0.29,*,,,1.0,***,0.77,***,,,0.37,**,,,0.79,***,,,0.31,**,,,0.42,***,0.49,***,0.48,***,,,,,0.54,***,0.96,***,0.31,**
A1-D,,,0.15,,,,0.77,***,0.15,,,,0.77,***,1.0,***,,,0.21,,,,0.97,***,,,0.18,,,,0.36,**,0.39,***,0.36,**,,,,,0.38,***,0.83,***,0.18,
A1-M,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A1.2,,,0.7,***,,,0.34,**,-0.04,,,,0.37,**,0.21,,,,1.0,***,,,0.45,***,,,0.86,***,,,0.12,,0.43,***,0.13,,,,,,0.42,***,0.4,***,0.86,***
A2-M,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,,,,,
A,,,0.31,**,,,0.79,***,0.12,,,,0.79,***,0.97,***,,,0.45,***,,,1.0,***,,,0.39,***,,,0.36,**,0.47,***,0.36,**,,,,,0.46,***,0.86,***,0.39,***
I1-D,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,,,,,
I1-M,,,0.81,***,,,0.27,*,-0.04,,,,0.31,**,0.18,,,,0.86,***,,,0.39,***,,,1.0,***,,,0.1,,0.47,***,0.11,,,,,,0.45,***,0.35,**,1.0,***
I2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,,,,,,,,,
I3-D,,,0.08,,,,0.46,***,-0.13,,,,0.42,***,0.36,**,,,0.12,,,,0.36,**,,,0.1,,,,1.0,***,0.93,***,-0.27,*,,,,,-0.2,,0.49,***,0.1,
I,,,0.38,**,,,0.51,***,-0.13,,,,0.49,***,0.39,***,,,0.43,***,,,0.47,***,,,0.47,***,,,0.93,***,1.0,***,-0.19,,,,,,-0.01,,0.57,***,0.47,***
R1.1,,,0.09,,,,0.48,***,0.09,,,,0.48,***,0.36,**,,,0.13,,,,0.36,**,,,0.11,,,,-0.27,*,-0.19,,1.0,***,,,,,0.94,***,0.52,***,0.11,
R1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,,,
R1.3-D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,***,,,,,,
R,,,0.37,**,,,0.52,***,0.07,,,,0.54,***,0.38,***,,,0.42,***,,,0.46,***,,,0.45,***,,,-0.2,,-0.01,,0.94,***,,,,,1.0,***,0.59,***,0.45,***
FAIR,,,0.29,*,,,0.98,***,0.13,,,,0.96,***,0.83,***,,,0.4,***,,,0.86,***,,,0.35,**,,,0.49,***,0.57,***,0.52,***,,,,,0.59,***,1.0,***,0.35,**
R1.3-M,,,0.81,***,,,0.27,*,-0.04,,,,0.31,**,0.18,,,,0.86,***,,,0.39,***,,,1.0,***,,,0.1,,0.47,***,0.11,,,,,,0.45,***,0.35,**,1.0,***
