KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R1.3-M Metadata are described with VoID/DCAT predicates,R score,FAIR score
0080-3626,Korespondencja Emila Szramka z Janem Kuderą,,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0,0.75,2.07
2000-us-census-rdf,2000 U.S. Census in RDF (rdfabout.com),http://www.rdfabout.com/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
2001-spanish-census-to-rdf,2001 Spanish Census to RDF,http://visualdataweb.infor.uva.es/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
abs-linked-data,Australian Bureau of Statistics (ABS) Linked Data,http://abs.270a.info/sparql,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
acorn-sat,Australian Climate Observations Reference Network - Surface Air Temperature Dataset,http://lab.environment.data.gov.au/sparql,"['http://lab.environment.data.gov.au/dumps/release/all_slices.zip', 'http://lab.environment.data.gov.au/dumps/release/observations.zip']",False,1,0.0,1,0.78,0,1,0.63,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0,0.75,2.63
agrinepaldata,AgriNepalData,http://agrinepaldata.com/sparql,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
AISHE,All India Survey of Higher Education,http://103.102.234.109:3030/dataset.html?tab=query&ds=/aishephd,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
aragodbpedia,AragoDBPedia,http://opendata.aragon.es/sparql,[],False,1,0.9964,1,0.56,0,1,0.76,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.51
asn-us,ASN:US,http://sparql.jesandco.org:8890/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
bfs-linked-data,Bundesamt für Statistik (BFS) - Swiss Federal Statistical Office (FSO) Linked Data,http://bfs.270a.info/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
biographical-directory-of-the-united-states-congress,Biographical Directory of the United States Congress,http://logd.tw.rpi.edu/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
bis-linked-data,Bank for International Settlements (BIS) Linked Data,http://bis.270a.info/sparql,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
business-data-gov-uk,business.data.gov.uk,http://services.data.gov.uk/business/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cablegate,cablegate,http://river.styx.org/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.5,1,0.0,1,0.62,1,0,0.0,1,0.5,1,1,1,0,0.75,2.48
ceo,Linked Data Cultural Heritage Agency of the Netherlands,https://api.linkeddata.cultureelerfgoed.nl/datasets/rce/cho/services/cho/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,1,0.0,1,0.75,1,1,1,1,1.0,2.86
cht,Cultural Heritage Thesaurus,https://digitaalerfgoed.poolparty.biz/PoolParty/sparql/term/id/cht,"['https://data.cultureelerfgoed.nl/term/id/cht/export/term/id/cht.ttl', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_project_cultuurhistorischethesaurus.jsonld', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_project_cultuurhistorischethesaurus.trig', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_project_cultuurhistorischethesaurus.rdf', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_project_cultuurhistorischethesaurus.ttl', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_project_cultuurhistorischethesaurus.rj', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_project_cultuurhistorischethesaurus.mtxml', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_export_cultuurhistorischethesaurus.trig', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_export_cultuurhistorischethesaurus.rdf', 'https://data.cultureelerfgoed.nl/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DF17ED4-4A38-0001-C6FF-883013B04AD0/pp_scheme_cultuurhistorischethesaurus.trig']",False,1,0.0,1,0.78,0,1,0.63,1.0,1,1.0,1,1.0,1,1,1.0,1,1.0,1,1,1,1,1.0,3.63
clean-energy-data-reegle,Linked Clean Energy Data (reegle.info),http://sparql.reegle.info/,['http://www.reegle.info/downloads/latest_reegle_dump.nt'],False,1,0.0,1,0.78,0,1,0.63,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0,0.75,2.63
congresspeople,2011 US Congress People,,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
corporate-body,Corporate Body Named Authority List ,http://publications.europa.eu/webapi/rdf/sparql,['http://publications.europa.eu/resource/cellar/07e1a665-2b56-11e7-9412-01aa75ed71a1.0001.09/zip'],False,1,0.0,1,0.78,0,1,0.63,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.38
courts-thesaurus,Courts thesaurus,http://vocabulary.wolterskluwer.de/PoolParty/sparql/court,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
CPC,Cooperative Patent Classification,https://data.epo.org/linked-data/query,['https://data.epo.org/linked-data/download/'],False,1,0.1,1,0.67,0,1,0.63,1.0,1,1.0,1,1.0,1,0,0.0,1,0.5,1,1,1,0,0.75,2.88
ctic-public-dataset,CTIC Public Dataset Catalogs,http://data.fundacionctic.org/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-ares-or,Data about business entities from the ARES system - business registry of the Czech Republic,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-ares-rzp,Data about Czech business entities from the ARES system - Trade Licensing Register,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-cenia-irz-chemicals,Chemicals reported to the Integrated register of pollution,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-cenia-pollution,Integrated pollution registry,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-contracts,Registry of contracts of the Czech Republic - Contracts,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-ctia-bans,Bans of the Czech Trade Inspection Authority,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-ctia-confiscations,Confiscations of the Czech Trade Inspection Authority,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-ctia-focus,Focus of the Czech Trade Inspection Authority's inspections,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-ctia-inspections,Inspections of the Czech Trade Inspection Authority,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-ctia-sanctions,Sanctions of the Czech Trade Inspection Authority,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-cuzk-cadastre-offices,Cadastre offices from Czech land registry,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-cuzk-legal-relationships-documents,Code lists of the legal relationships and documents,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-czso-average-salaries,Average salaries in regions of Czech republic,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-czso-deaths-by-selected-causes-of-death,Deaths by selected causes of death in regions of Czech Republic,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-czso-demography-in-regions-czech-republic-age-categories,Number of inhabitants in districts of Czech Republic in 5year age categories,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-czso-job-applicants,Job applicants in regions of Czech Republic,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-czso-job-applicants-and-unemployment-rate,Job applicants and unemployment rate in regions of Czech Republic,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-czso-regions,Structure of regions of Czech Republic according to Czech Statistical Office,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-czso-selected-indicators-of-public-health,Selected public health indicators in regions of Czech republic,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-czso-social-service-facilities,Social service facilities and nursing in districts of Czech republic,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-czso-unemployment-rate,Unemployment rate in regions of Czech republic,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-fulfillments,Registry of contracts of the Czech Republic - Financial fulfillments,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-ic,Czech Business Entity identification numbers and names,https://nkod.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-orders,Registry of contracts of the Czech Republic - Orders,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-ovm,Institutions of public power of the Czech Republic,https://linked.opendata.cz/sparql,"['http://nuts.geovocab.org/data/0.91/nuts-rdf-0.91.ttl', 'http://nuts.geovocab.org/data/0.91/nuts-rdf-0.91.ttl.bz2', 'https://data.cssz.cz/dump/duchodci-v-cr-krajich-okresech.csv', 'https://data.cssz.cz/dump/duchodci-v-cr-krajich-okresech.trig', 'https://linked.opendata.cz/soubor/datové-schránky/datové-schránky.trig.gz', 'https://data.cssz.cz/dump/pomocne-ciselniky.csv', 'https://data.cssz.cz/dump/pomocne-ciselniky.trig', 'https://linked.opendata.cz/soubory/souhrnné-typy-ovm/souhrnné-typy-ovm.trig.gz', 'https://linked.opendata.cz/soubor/ovm/ovm.trig.gz']",False,1,0.0978,1,0.78,0,1,0.65,1.0,1,1.0,1,1.0,1,1,0.53,1,0.88,1,1,1,1,1.0,3.53
cz-ovm-agendas,Agendas of institutions of public power of the Czech Republic,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-ruian,"Registry of territorial identification, addresses and real estate of the Czech Republic",https://ruian.linked.opendata.cz/sparql,[],False,1,1.0,1,0.67,0,1,0.78,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.53
cz-sao-audited-subjects,Audited subjects of Supreme Audit Office of the Czech Republic,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-sao-check-actions,Inspections of the Supreme Audit Office of the Czech Republic,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-sao-check-actions-law,List of laws used in inspection reports of SAO,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-sidc-drug-prices,List of prices of reimbursed medicinal products marketed in Czech republic,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-vavai-evaluation-2013,Evaluation of VaVaI results for 2013,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-vavai-funding-providers,State funding providers,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-vavai-organizations,Organizations active in R&D,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,2.09
cz-vavai-programmes,R&D Programmes,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-vavai-projects,R&D Projects,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-vavai-research-plans,Institutional research plans,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-vavai-results,Results of R&D,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
cz-vavai-tenders,Tenders in R&D,http://linked.opendata.cz/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
data-cnr-it,Open Data from the Italian National Research Council,http://data.cnr.it/sparql-proxy/,[],False,1,0.0,1,0.78,0,1,0.63,0.0,1,0.0,1,0.5,1,1,0.67,1,0.92,1,1,1,1,1.0,3.05
data-gov-uk-time-intervals,data.gov.uk Time Intervals,,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
data-incubator-metoffice,Metoffice Weather Forecasts,http://api.talis.com/stores/metoffice/services/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
data-incubator-nasa,NASA Space Flight & Astronaut data in RDF,http://api.kasabi.com/dataset/nasa/apis/sparql,['http://archive.org/download/kasabi/nasa.gz'],False,1,0.0,1,0.78,0,1,0.63,1.0,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0,0.75,2.63
dataturcyl-lod-for-tourists-in-castilla-y-leon-spain,DATATURCYL - LOD for tourists in Castilla y León (Spain),http://visualdataweb.infor.uva.es/sparql,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
datos-bcn-cl,Datos.bcn.cl,http://datos.bcn.cl/sparql,['http://datos.bcn.cl/recurso/cl/dto/ministerio-de-relaciones-exteriores/2008-02-07/267/es@2008-02-07'],False,1,0.9526,1,0.67,0,1,0.77,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.52
diavgeia,Diavgeia,http://diavgeia.math.auth.gr/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
drug-data-hifm,Drug Data from the Health Insurance Fund of Macedonia,http://linkeddata.finki.ukim.mk/sparql,[],False,1,0.954,1,0.44,0,1,0.73,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.48
ecb-linked-data,European Central Bank (ECB) Linked Data,http://ecb.270a.info/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
education-data-gov-uk,education.data.gov.uk,http://services.data.gov.uk/education/sparql,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,2.09
eea,European Environment Agency Published Products,http://semantic.eea.europa.eu/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
eea-rod,EEA Reporting Obligations Database,http://cr.eionet.europa.eu/sparql,[],False,1,0.0,1,0.78,0,1,0.63,0.5,1,0.0,1,0.62,1,1,0.67,1,0.92,1,1,1,1,1.0,3.17
EGovOntology,E-Government Ontology,http://example.org,['http://example.org'],False,1,0.0,1,0.67,0,1,0.61,1.0,1,0.0,1,0.75,1,0,0.0,0,0.25,1,1,1,0,0.75,2.36
ei2a,Aragon Interoperable Information Structure EI2A - aragon open data,https://opendata.aragon.es/sparql,[],False,1,0.9972,1,0.67,0,1,0.78,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.53
eionet-rdf,EIONET RDF Data,http://semantic.eea.europa.eu/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,1,0.0,1,0.75,1,1,1,1,1.0,2.86
enakting-co2emission,EnAKTing CO2 Emission Dataset,,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
enakting-crime,EnAKTing Crime Dataset,,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
enakting-energy,EnAKTing Energy Dataset,,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
enakting-mortality,EnAKTing Mortality Dataset,,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
enakting-nhs,EnAKTing NHS Dataset,,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
enakting-population,EnAKTing Population Dataset,,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
english-index-of-multiple-deprivation-ranking-2010,English Index of Multiple Deprivation Ranking 2010,http://opendatacommunities.org/sparql,"['http://www.jenitennison.com/log/data.gov.uk/statistics/data/admingeo-CTY.rdf', 'http://www.jenitennison.com/log/data.gov.uk/statistics/data/EER08.rdf', 'http://www.jenitennison.com/log/data.gov.uk/statistics/data/CTY08.rdf', 'http://www.jenitennison.com/log/data.gov.uk/statistics/data/local-authorities.rdf', 'http://www.jenitennison.com/log/data.gov.uk/statistics/data/admingeo-LAD.rdf', 'http://www.jenitennison.com/log/data.gov.uk/statistics/data/LAD08.rdf', 'http://www.jenitennison.com/log/data.gov.uk/statistics/data/CTRY08.rdf', 'http://www.jenitennison.com/log/data.gov.uk/statistics/data/europeanregions-EER.rdf', 'http://www.jenitennison.com/log/data.gov.uk/statistics/data/GOR08.rdf']",False,1,0.0,1,0.56,0,1,0.59,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.34
english-index-of-multiple-deprivation-score-2010,English Index of Multiple Deprivation Score 2010,http://opendatacommunities.org/sparql,"['http://www.jenitennison.com/log/data.gov.uk/statistics/data/admingeo-CTY.rdf', 'http://www.jenitennison.com/log/data.gov.uk/statistics/data/EER08.rdf', 'http://www.jenitennison.com/log/data.gov.uk/statistics/data/CTY08.rdf', 'http://www.jenitennison.com/log/data.gov.uk/statistics/data/local-authorities.rdf', 'http://www.jenitennison.com/log/data.gov.uk/statistics/data/admingeo-LAD.rdf', 'http://www.jenitennison.com/log/data.gov.uk/statistics/data/LAD08.rdf', 'http://www.jenitennison.com/log/data.gov.uk/statistics/data/CTRY08.rdf', 'http://www.jenitennison.com/log/data.gov.uk/statistics/data/europeanregions-EER.rdf', 'http://www.jenitennison.com/log/data.gov.uk/statistics/data/GOR08.rdf']",False,1,0.0,1,0.56,0,1,0.59,1.0,1,1.0,1,1.0,1,1,0.0,1,0.75,1,1,1,1,1.0,3.34
environment-agency-bathing-water-quality,Environment Agency Bathing Water Quality,http://environment.data.gov.uk/sparql/bwq/query,[],False,1,1.0,1,0.67,0,1,0.78,1.0,1,1.0,1,1.0,1,1,0.09,1,0.77,1,1,1,1,1.0,3.55
environment-data-gov-uk,environment.data.gov.uk,http://services.data.gov.uk/environment/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.36
eprtr,European Pollutant Release and Transfer Register (E-PRTR),http://cr.eionet.europa.eu/sparql,[],False,1,0.0,1,0.67,0,1,0.61,0.5,1,0.0,1,0.62,1,0,0.0,1,0.5,1,1,1,0,0.75,2.48
esd-standards,ESD Standards: Controlled lists for the UK public sector,,[],False,1,0.0,1,0.56,0,1,0.59,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0,0.75,2.34
esd-toolkit,ESD-Toolkit,,[],False,1,0.0,1,0.44,0,1,0.57,0.0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0,0.5,2.07
