KG id,KG name,KG SPARQL endpoint,RDF dump link,Ontology,F1-M Unique and persistent ID,F1-D URIs dereferenceability,F2a-M - Metadata availability via standard primary sources,F2b-M Metadata availability for all the attributes covered in the FAIR score computation,F3-M Data referrable via a DOI,F4-M Metadata registered in a searchable engine,F score,A1-D Working access point(s),A1-M Metadata availability via working primary sources,A1.2 Authentication & HTTPS support,A2-M Registered in search engines,A score,I1-D Standard & open representation format,I1-M Metadata are described with VoID/DCAT predicates,I2 Use of FAIR vocabularies,I3-D Degree of connection,I score,R1.1 Machine- or human-readable license retrievable via any primary source,"R1.2 Publisher information, such as authors, contributors, publishers, and sources",R1.3-D Data organized in a standardized way,R score,FAIR score,R1.3-M Metadata are described with VoID/DCAT predicates
_data.odw.tw,Open Data Web,http://data.odw.tw/sparql,[],False,1,0.0,1,0.44,0,1,0.57,0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.32,0
card,person,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0.75,2.04,0
data-incubator-musicbrainz,Data Incubator: MusicBrainz,http://api.talis.com/stores/musicbrainz/services/sparql,[],False,1,0.0,1,0.56,0,1,0.59,0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.34,0
dbtune-myspace,DBTune.org MySpace RDF Service,http://dbtune.org/myspace/sparql/,[],False,1,0.0,1,0.44,0,1,0.57,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.07,0
debian-package-tracking-system,Debian Package Tracking System,,[],False,1,0.0,1,0.44,0,1,0.57,1,1,0.0,1,0.75,1,0,0.0,1,0.5,0,1,1,0.5,2.32,0
freebase,Freebase,,[],False,1,0.0,1,0.44,0,1,0.57,0,1,0.0,1,0.5,1,0,0.0,1,0.5,1,1,1,0.75,2.32,0
Guillaume_Forget,GUTSTOK ,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0.75,2.04,0
Hoa_Thinh_Phat,Hoa Thịnh Phát,https://hoathinhphatgroup.com/lien-he/,"['https://hoathinhphatgroup.com/sitemap_index.xml', 'https://hoathinhphatgroup.com/tuong-cay-gia/', 'https://hoathinhphatgroup.com/gioi-thieu/', 'https://hoathinhphatgroup.com/co-nhan-tao/', 'https://hoathinhphatgroup.com/cat-trang-tu-nhien/', 'https://hoathinhphatgroup.com/chi-phi-xay-ho-boi-gia-dinh/#gia_dinh', 'https://hoathinhphatgroup.com/thiet-bi-ho-boi/']",False,1,0.0,1,0.56,0,1,0.59,1,1,0.0,1,0.75,1,0,0.0,0,0.25,1,1,1,0.75,2.34,0
Names,Usernames ,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0.75,2.04,0
nextweb-gnoss,"Next Web, a global knowledge network of semantic technology and Web 3.0 (GNOSS)",,[],False,1,0.0,1,0.67,0,1,0.61,1,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0.75,2.61,0
Nordine_Bittich,Curriculum Vitae,https://bittich.be/sparql,[],False,1,0.0555555555555555,1,0.33,0,1,0.56,1,1,1.0,1,1.0,1,0,0.0,0,0.25,1,1,1,0.75,2.56,0
sears,sears.com,,[],False,1,0.0,1,0.44,0,1,0.57,1,1,0.0,1,0.75,1,0,0.0,1,0.5,0,1,1,0.5,2.32,0
SocialLink,SocialLink,http://sociallink.futuro.media/sparql,['https://zenodo.org/record/1451797'],False,1,0.0,1,0.78,1,1,0.8,1,1,0.0,1,0.75,1,0,0.0,1,0.5,1,1,1,0.75,2.8,0
SocialRoles,FamilyRelations as SocialRole,,[],False,1,0.0,1,0.44,0,1,0.57,1,1,0.0,1,0.75,1,0,0.0,0,0.25,1,1,1,0.75,2.32,0
socialsemweb-thesaurus,Social Semantic Web Thesaurus,http://vocabulary.semantic-web.at/PoolParty/sparql/semweb,"['http://vocabulary.semantic-web.at/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DAB2993-FE45-0001-CEA2-1F591C30E100/pp_project_socialsemanticwebthesaurus.trig', 'http://vocabulary.semantic-web.at/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DAB2993-FE45-0001-CEA2-1F591C30E100/pp_project_socialsemanticwebthesaurus.ttl', 'http://vocabulary.semantic-web.at/PoolParty/OpenConfigPathResourceProvider/backuproot?fileName=1DAB2993-FE45-0001-CEA2-1F591C30E100/pp_project_socialsemanticwebthesaurus.rdf']",False,1,0.9052333804809052,1,0.78,0,1,0.78,1,1,1.0,1,1.0,1,1,1.0,1,1.0,1,1,1,1.0,3.78,1
Stammbuch,Stammbuch,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,0,0.25,1,1,1,0.75,2.04,0
statusnet-1w6-org,statusnet-1w6-org,,[],False,1,0.0,1,0.33,0,1,0.56,1,1,0.0,1,0.75,1,0,0.0,1,0.5,0,1,1,0.5,2.31,0
statusnet-alexandrefranke-com,statusnet-alexandrefranke-com,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-bka-li,statusnet-bka-li,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-ced117-net,statusnet-ced117-net,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-chromic-org,statusnet-chromic-org,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-datenfahrt-org,statusnet-datenfahrt-org,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
statusnet-davidhaberthuer-ch,statusnet-davidhaberthuer-ch,,[],False,1,0.0,1,0.22,0,1,0.54,0,1,0.0,1,0.5,1,0,0.0,1,0.5,0,1,1,0.5,2.04,0
